UserId,Time,days,first_time,last_time
7.0,2010-11-02 18:59:01.140,0,0,2
23.0,2010-11-02 19:09:48.680,0,0,112
40.0,2010-11-02 19:11:05.857,0,0,78
42.0,2010-11-02 19:11:07.043,0,0,74
20.0,2010-11-02 19:12:26.543,0,0,138
42.0,2010-11-02 19:13:34.870,0,0,74
13.0,2010-11-02 19:15:20.813,0,0,97
7.0,2010-11-02 19:15:20.813,0,0,2
36.0,2010-11-02 19:18:47.330,0,0,2
23.0,2010-11-02 19:26:38.137,0,0,112
42.0,2010-11-02 19:27:34.463,0,0,74
48.0,2010-11-02 19:28:09.013,0,0,1
13.0,2010-11-02 19:32:15.410,0,0,97
49.0,2010-11-02 19:36:09.670,0,0,7
13.0,2010-11-02 19:36:53.290,0,0,97
40.0,2010-11-02 19:36:55.263,0,0,78
13.0,2010-11-02 19:40:24.413,0,0,97
54.0,2010-11-02 19:46:46.477,0,0,0
18.0,2010-11-02 19:50:19.220,0,0,103
57.0,2010-11-02 19:51:03.887,0,0,75
48.0,2010-11-02 19:55:07.630,0,0,1
18.0,2010-11-02 19:56:21.687,0,0,103
13.0,2010-11-02 19:56:34.667,0,0,97
47.0,2010-11-02 20:03:01.050,0,0,179
57.0,2010-11-02 20:03:34.887,0,0,75
42.0,2010-11-02 20:04:33.713,0,0,74
62.0,2010-11-02 20:05:00.813,0,0,34
7.0,2010-11-02 20:08:57.247,0,0,2
42.0,2010-11-02 20:09:04.537,0,0,74
47.0,2010-11-02 20:10:50.757,0,0,179
70.0,2010-11-02 20:11:14.907,0,0,162
42.0,2010-11-02 20:11:28.417,0,0,74
73.0,2010-11-02 20:12:32.630,0,0,0
56.0,2010-11-02 20:14:07.180,0,0,61
72.0,2010-11-02 20:17:48.947,0,0,174
62.0,2010-11-02 20:18:01.623,0,0,34
77.0,2010-11-02 20:19:42.540,0,0,0
47.0,2010-11-02 20:20:45.987,0,0,179
57.0,2010-11-02 20:21:32.337,0,0,75
56.0,2010-11-02 20:21:39.340,0,0,61
72.0,2010-11-02 20:21:45.097,0,0,174
42.0,2010-11-02 20:21:45.097,0,0,74
77.0,2010-11-02 20:22:33.677,0,0,0
42.0,2010-11-02 20:23:23.223,0,0,74
42.0,2010-11-02 20:24:13.237,0,0,74
77.0,2010-11-02 20:25:31.397,0,0,0
56.0,2010-11-02 20:25:31.397,0,0,61
42.0,2010-11-02 20:25:39.413,0,0,74
57.0,2010-11-02 20:25:52.753,0,0,75
74.0,2010-11-02 20:26:36.210,0,0,179
75.0,2010-11-02 20:26:45.977,0,0,0
48.0,2010-11-02 20:27:39.997,0,0,1
42.0,2010-11-02 20:28:10.190,0,0,74
42.0,2010-11-02 20:30:55.867,0,0,74
76.0,2010-11-02 20:32:03.353,0,0,15
42.0,2010-11-02 20:32:40.420,0,0,74
47.0,2010-11-02 20:34:51.497,0,0,179
82.0,2010-11-02 20:36:14.597,0,0,62
82.0,2010-11-02 20:38:20.723,0,0,62
75.0,2010-11-02 20:39:35.933,0,0,0
82.0,2010-11-02 20:40:00.160,0,0,62
40.0,2010-11-02 20:42:22.140,0,0,78
74.0,2010-11-02 20:46:17.863,0,0,179
36.0,2010-11-02 20:49:09.577,0,0,2
42.0,2010-11-02 20:50:24.500,0,0,74
79.0,2010-11-02 20:51:29.503,0,0,0
77.0,2010-11-02 20:51:29.503,0,0,0
57.0,2010-11-02 20:53:01.300,0,0,75
82.0,2010-11-02 20:53:01.300,0,0,62
82.0,2010-11-02 20:53:57.257,0,0,62
78.0,2010-11-02 20:54:20.337,0,0,153
23.0,2010-11-02 20:54:20.337,0,0,112
82.0,2010-11-02 20:55:12.373,0,0,62
82.0,2010-11-02 20:55:55.833,0,0,62
56.0,2010-11-02 20:57:07.113,0,0,61
82.0,2010-11-02 21:03:06.763,0,0,62
7.0,2010-11-02 21:05:09.680,0,0,2
69.0,2010-11-02 21:08:52.787,0,0,179
82.0,2010-11-02 21:08:57.003,0,0,62
47.0,2010-11-02 21:11:34.347,0,0,179
82.0,2010-11-02 21:11:41.883,0,0,62
86.0,2010-11-02 21:13:59.320,0,0,1
82.0,2010-11-02 21:15:19.960,0,0,62
4.0,2010-11-02 21:18:10.360,0,0,179
69.0,2010-11-02 21:20:10.313,0,0,179
69.0,2010-11-02 21:22:00.017,0,0,179
82.0,2010-11-02 21:24:17.733,0,0,62
69.0,2010-11-02 21:26:16.860,0,0,179
82.0,2010-11-02 21:27:59.867,0,0,62
47.0,2010-11-02 21:28:52.777,0,0,179
4.0,2010-11-02 21:32:29.757,0,0,179
4.0,2010-11-02 21:40:41.123,0,0,179
95.0,2010-11-02 21:46:26.483,0,0,157
82.0,2010-11-02 21:46:38.563,0,0,62
97.0,2010-11-02 21:51:45.043,0,0,177
82.0,2010-11-02 21:52:00.430,0,0,62
69.0,2010-11-02 21:53:54.107,0,0,179
97.0,2010-11-02 21:55:50.267,0,0,177
82.0,2010-11-02 21:55:55.790,0,0,62
82.0,2010-11-02 21:58:11.060,0,0,62
4.0,2010-11-02 21:58:45.757,0,0,179
97.0,2010-11-02 21:58:50.950,0,0,177
100.0,2010-11-02 21:59:39.680,0,0,124
13.0,2010-11-02 22:07:36.967,0,0,97
50.0,2010-11-02 22:08:32.470,0,0,8
29.0,2010-11-02 22:09:13.113,0,0,170
82.0,2010-11-02 22:09:52.580,0,0,62
4.0,2010-11-02 22:10:30.520,0,0,179
29.0,2010-11-02 22:11:37.200,0,0,170
20.0,2010-11-02 22:13:04.010,0,0,138
70.0,2010-11-02 22:15:02.613,0,0,162
97.0,2010-11-02 22:19:16.440,0,0,177
29.0,2010-11-02 22:19:18.643,0,0,170
104.0,2010-11-02 22:21:41.930,0,0,89
47.0,2010-11-02 22:22:52.903,0,0,179
70.0,2010-11-02 22:23:10.510,0,0,162
82.0,2010-11-02 22:25:07.593,0,0,62
29.0,2010-11-02 22:25:49.123,0,0,170
82.0,2010-11-02 22:28:44.207,0,0,62
97.0,2010-11-02 22:31:37.380,0,0,177
82.0,2010-11-02 22:32:13.517,0,0,62
4.0,2010-11-02 22:35:23.353,0,0,179
46.0,2010-11-02 22:37:38.660,0,0,0
46.0,2010-11-02 22:40:35.910,0,0,0
82.0,2010-11-02 22:40:49.763,0,0,62
104.0,2010-11-02 22:41:44.347,0,0,89
50.0,2010-11-02 22:45:18.163,0,0,8
4.0,2010-11-02 22:46:52.640,0,0,179
47.0,2010-11-02 22:49:04.177,0,0,179
29.0,2010-11-02 22:50:07.817,0,0,170
4.0,2010-11-02 22:50:07.817,0,0,179
82.0,2010-11-02 22:50:45.693,0,0,62
97.0,2010-11-02 22:50:57.147,0,0,177
104.0,2010-11-02 22:50:57.147,0,0,89
29.0,2010-11-02 22:53:40.340,0,0,170
97.0,2010-11-02 22:57:42.537,0,0,177
4.0,2010-11-02 23:04:11.067,0,0,179
104.0,2010-11-02 23:06:09.733,0,0,89
82.0,2010-11-02 23:06:17.970,0,0,62
104.0,2010-11-02 23:08:28.433,0,0,89
82.0,2010-11-02 23:08:28.433,0,0,62
104.0,2010-11-02 23:09:48.230,0,0,89
82.0,2010-11-02 23:11:09.617,0,0,62
46.0,2010-11-02 23:15:32.670,0,0,0
50.0,2010-11-02 23:15:49.237,0,0,8
71.0,2010-11-02 23:17:01.137,0,0,151
82.0,2010-11-02 23:17:50.013,0,0,62
4.0,2010-11-02 23:18:19.560,0,0,179
50.0,2010-11-02 23:21:01.380,0,0,8
71.0,2010-11-02 23:31:02.713,0,0,151
107.0,2010-11-02 23:32:47.993,0,0,163
110.0,2010-11-02 23:33:24.377,0,0,6
82.0,2010-11-02 23:36:17.480,0,0,62
13.0,2010-11-02 23:42:59.560,0,0,97
112.0,2010-11-02 23:52:07.323,0,0,0
82.0,2010-11-03 00:03:28.897,0,0,62
112.0,2010-11-03 00:03:28.897,0,0,0
82.0,2010-11-03 00:05:24.680,0,0,62
82.0,2010-11-03 00:08:59.077,0,0,62
4.0,2010-11-03 00:15:24.310,0,0,179
29.0,2010-11-03 00:20:36.770,0,0,170
82.0,2010-11-03 00:21:57.203,0,0,62
116.0,2010-11-03 00:22:36.580,0,0,0
4.0,2010-11-03 00:24:04.317,0,0,179
82.0,2010-11-03 00:27:07.620,0,0,62
112.0,2010-11-03 00:35:39.267,0,0,0
82.0,2010-11-03 00:35:39.267,0,0,62
69.0,2010-11-03 00:39:20.480,0,0,179
112.0,2010-11-03 00:41:59.230,0,0,0
82.0,2010-11-03 00:42:06.943,0,0,62
82.0,2010-11-03 00:48:42.583,0,0,62
62.0,2010-11-03 01:00:13.833,0,0,34
82.0,2010-11-03 01:00:52.583,0,0,62
20.0,2010-11-03 01:06:46.777,0,0,138
82.0,2010-11-03 01:13:57.047,0,0,62
71.0,2010-11-03 01:14:56.533,0,0,151
20.0,2010-11-03 01:14:56.533,0,0,138
20.0,2010-11-03 01:17:28.593,0,0,138
118.0,2010-11-03 01:17:40.223,0,0,61
70.0,2010-11-03 01:34:47.250,0,0,162
82.0,2010-11-03 01:34:55.803,0,0,62
82.0,2010-11-03 01:56:44.590,0,0,62
29.0,2010-11-03 01:56:44.590,0,0,170
18.0,2010-11-03 02:14:03.533,0,0,103
78.0,2010-11-03 02:39:47.943,0,0,153
78.0,2010-11-03 03:32:09.443,0,0,153
78.0,2010-11-03 03:50:17.120,0,0,153
74.0,2010-11-03 04:05:42.190,0,0,179
40.0,2010-11-03 04:37:44.253,0,0,78
95.0,2010-11-03 04:56:13.757,0,0,157
124.0,2010-11-03 05:26:08.050,0,0,179
71.0,2010-11-03 05:35:51.833,0,0,151
124.0,2010-11-03 05:35:51.833,0,0,179
124.0,2010-11-03 05:42:00.250,0,0,179
124.0,2010-11-03 05:50:10.743,0,0,179
71.0,2010-11-03 06:04:09.460,0,0,151
48.0,2010-11-03 06:15:43.947,0,0,1
71.0,2010-11-03 06:23:17.300,0,0,151
127.0,2010-11-03 06:32:54.527,0,0,30
56.0,2010-11-03 06:35:55.150,0,0,61
8.0,2010-11-03 07:00:58.390,0,0,74
82.0,2010-11-03 07:08:10.333,0,0,62
124.0,2010-11-03 07:09:33.360,0,0,179
71.0,2010-11-03 07:09:33.360,0,0,151
46.0,2010-11-03 07:10:08.600,0,0,0
