CId,CUserId,PId,@UserName,CTime,CScore
234,32,193, ,2011-08-11 19:24:03.627,
236,32,206, ,2011-08-11 19:35:17.497,
237,32,206, ,2011-08-11 19:35:47.950,
238,32,194, ,2011-08-11 19:36:45.967,
239,32,202, ,2011-08-11 19:37:16.793,
240,26,206, ,2011-08-11 20:13:45.050,1
243,32,208, ,2011-08-11 20:49:34.523,
245,73,208,TML,2011-08-11 20:55:52.033,
246,30,142,Kalamane,2011-08-11 21:02:57.060,1
249,10,210, ,2011-08-11 21:32:31.690,
252,64,214, ,2011-08-11 21:52:00.427,
254,73,17, ,2011-08-11 23:19:15.777,4
255,75,200, ,2011-08-12 00:07:14.607,
256,75,205, ,2011-08-12 00:09:36.697,
257,32,180, ,2011-08-12 00:56:48.487,
258,32,199, ,2011-08-12 01:37:50.013,
259,12,202,TML,2011-08-12 02:54:21.713,2
260,32,202, ,2011-08-12 02:57:33.127,
266,32,219, ,2011-08-12 09:59:37.450,2
267,26,159, ,2011-08-12 10:58:32.280,
268,38,200, ,2011-08-12 14:53:42.647,
271,10,222, ,2011-08-12 15:55:14.807,7
283,15,174, ,2011-08-12 17:44:34.197,1
292,101,235, ,2011-08-12 19:22:25.700,
293,75,200, ,2011-08-12 20:15:51.970,
294,38,200, ,2011-08-12 20:28:58.597,
295,101,240, ,2011-08-12 21:14:34.030,
296,75,200, ,2011-08-12 21:32:02.547,
297,38,200, ,2011-08-12 21:35:23.143,
298,75,200, ,2011-08-12 21:37:59.823,
299,129,246, ,2011-08-13 04:08:00.920,1
302,94,250, ,2011-08-13 05:21:43.730,
303,26,246, ,2011-08-13 06:44:58.683,
305,133,219, ,2011-08-13 14:48:08.097,
307,26,219, ,2011-08-13 15:29:01.463,2
313,10,255, ,2011-08-13 17:32:03.240,
314,124,183, ,2011-08-13 17:33:36.840,2
318,124,180, ,2011-08-13 17:35:48.650,
321,13,246, ,2011-08-13 18:04:17.053,1
325,38,200, ,2011-08-14 01:46:15.857,1
326,32,258, ,2011-08-14 04:14:35.880,
327,46,284, ,2011-08-14 11:23:35.720,2
328,16,249, ,2011-08-14 15:05:45.587,
331,65,292, ,2011-08-14 17:54:36.733,
332,60,274, ,2011-08-14 17:55:58.473,
334,144,136, ,2011-08-14 18:32:16.450,
335,32,296, ,2011-08-14 19:41:11.227,
338,32,289, ,2011-08-14 20:34:41.463,1
339,75,289, ,2011-08-14 21:03:30.083,
340,144,303, ,2011-08-15 03:42:39.770,
341,65,297, ,2011-08-15 07:33:56.450,1
342,86,255,Matthew,2011-08-15 08:20:41.443,
348,30,307, ,2011-08-15 16:27:19.503,
349,112,222, ,2011-08-15 16:49:25.770,
352,48,226, ,2011-08-15 20:42:28.417,
353,48,227, ,2011-08-15 20:42:53.080,
354,32,315, ,2011-08-15 21:02:55.960,1
355,124,303, ,2011-08-15 21:45:00.977,
357,149,301, ,2011-08-15 22:11:22.727,
361,124,219, ,2011-08-16 00:20:04.457,
368,40,339, ,2011-08-16 12:01:44.530,1
369,144,339, ,2011-08-16 12:40:08.100,1
371,46,339,VMAtm,2011-08-16 13:03:24.600,2
372,82,320, ,2011-08-16 13:56:08.283,2
373,136,83, ,2011-08-16 14:13:44.217,1
374,136,70, ,2011-08-16 14:18:06.283,
385,149,224, ,2011-08-16 19:26:01.527,
387,149,88, ,2011-08-16 19:38:15.823,
388,149,148, ,2011-08-16 19:40:00.313,
389,74,345, ,2011-08-16 20:33:40.477,
392,10,355, ,2011-08-16 22:18:56.627,
394,44,361, ,2011-08-16 23:15:09.173,
396,181,282, ,2011-08-17 02:53:53.130,1
397,32,282,OghmaOsiris,2011-08-17 03:01:20.983,1
400,136,345, ,2011-08-17 04:49:19.757,
402,46,17, ,2011-08-17 07:32:53.687,1
404,46,278, ,2011-08-17 08:14:38.020,
406,27,210, ,2011-08-17 09:48:01.700,
407,73,320, ,2011-08-17 11:51:00.650,
409,27,320, ,2011-08-17 15:04:13.753,
410,27,211, ,2011-08-17 15:08:19.210,
411,7,381, ,2011-08-17 17:10:37.953,
413,13,369, ,2011-08-17 19:11:20.970,
414,106,369,Anna,2011-08-17 19:21:03.200,
415,13,369, ,2011-08-17 19:22:42.933,
416,106,369, ,2011-08-17 19:40:17.630,
417,7,383, ,2011-08-17 20:37:20.097,
418,198,385, ,2011-08-17 21:12:14.233,6
419,10,385, ,2011-08-17 21:27:11.017,2
423,68,92, ,2011-08-18 00:04:57.157,
427,179,142,Kalamane,2011-08-18 05:54:04.720,
429,97,239, ,2011-08-18 08:46:21.363,
432,155,396, ,2011-08-18 11:13:29.613,1
433,212,116, ,2011-08-18 11:46:01.363,1
434,211,396, ,2011-08-18 11:46:32.757,
435,65,344, ,2011-08-18 13:15:12.223,
438,92,364, ,2011-08-18 13:21:23.133,
440,92,91, ,2011-08-18 13:25:06.467,
441,64,142,Gaurav,2011-08-18 13:39:25.240,1
443,12,364,Anne,2011-08-18 15:20:26.470,
444,32,392, ,2011-08-18 18:37:50.910,1
445,221,146, ,2011-08-18 18:57:14.477,
447,32,391, ,2011-08-18 20:04:09.990,
448,111,319, ,2011-08-18 20:58:48.167,
450,186,382, ,2011-08-19 04:21:01.783,1
451,32,403, ,2011-08-19 05:53:26.050,
452,81,392,TML,2011-08-19 05:53:48.467,
453,32,392, ,2011-08-19 06:04:10.190,
454,92,361, ,2011-08-19 06:50:18.963,
455,192,406, ,2011-08-19 10:42:56.380,
456,91,406, ,2011-08-19 10:44:23.550,
457,192,406, ,2011-08-19 10:51:09.253,
458,65,401, ,2011-08-19 11:18:31.983,
459,227,345, ,2011-08-19 11:32:25.797,
463,64,382, ,2011-08-19 16:06:13.130,
468,227,412, ,2011-08-19 19:28:47.080,
469,13,418, ,2011-08-19 20:21:12.810,2
470,227,418,Anna,2011-08-19 20:25:25.240,1
471,230,419, ,2011-08-19 20:33:58.280,1
472,227,419,dancek,2011-08-19 20:37:29.463,
473,38,418, ,2011-08-19 20:42:35.000,
474,227,418, ,2011-08-19 20:45:37.830,
475,230,419, ,2011-08-19 20:48:16.120,
476,10,418, ,2011-08-19 21:34:28.197,
477,10,419, ,2011-08-19 21:35:45.480,2
478,230,421, ,2011-08-19 21:50:29.950,
479,104,421, ,2011-08-19 22:42:58.210,1
481,25,418, ,2011-08-20 00:58:23.457,
484,25,392, ,2011-08-20 01:11:58.380,
485,25,374, ,2011-08-20 01:13:48.453,
486,25,381, ,2011-08-20 01:17:41.770,1
489,179,142,Kalamane,2011-08-20 04:24:38.183,
490,38,418, ,2011-08-20 05:47:40.810,
493,227,419,dancek,2011-08-20 08:06:04.383,
494,227,419,Matthew,2011-08-20 08:07:25.550,1
495,227,418, ,2011-08-20 08:09:26.400,
497,227,422, ,2011-08-20 08:14:10.423,
498,230,419,hippietrail,2011-08-20 08:21:07.377,
499,227,419,dancek,2011-08-20 08:29:13.097,
500,227,421, ,2011-08-20 08:39:44.453,
502,27,392, ,2011-08-20 09:30:36.343,
504,99,430, ,2011-08-20 17:06:46.167,2
506,227,418, ,2011-08-21 08:05:26.343,
507,192,429, ,2011-08-21 10:05:13.077,
508,192,409, ,2011-08-21 10:06:33.047,
509,154,429, ,2011-08-21 13:41:34.513,2
510,144,436, ,2011-08-21 14:34:23.937,
512,32,436,J.M,2011-08-21 19:24:29.887,
513,32,425, ,2011-08-21 19:56:27.270,1
515,44,436, ,2011-08-21 20:06:21.563,3
516,32,436,Ashley,2011-08-21 20:25:35.060,
517,74,372, ,2011-08-21 21:30:55.143,
518,124,442, ,2011-08-21 22:10:19.370,
519,32,442, ,2011-08-21 22:12:37.993,
520,99,407, ,2011-08-21 22:30:45.187,
521,144,439, ,2011-08-21 23:07:34.467,1
523,10,418, ,2011-08-22 02:49:17.083,1
524,227,407,Shiraz,2011-08-22 04:46:22.627,
525,227,426, ,2011-08-22 04:56:00.433,
526,25,436, ,2011-08-22 05:33:08.227,2
527,122,424, ,2011-08-22 10:30:09.733,1
528,250,419, ,2011-08-22 12:25:57.300,1
530,124,449, ,2011-08-22 13:22:20.000,
534,56,456, ,2011-08-22 17:10:32.630,
535,216,172, ,2011-08-22 17:47:05.567,
537,65,406, ,2011-08-22 18:26:43.257,1
538,252,456, ,2011-08-22 23:55:20.363,
541,230,58, ,2011-08-23 10:15:10.230,
542,227,424,Unreason,2011-08-23 10:47:37.950,1
557,47,116, ,2011-08-23 20:42:22.023,
558,47,58, ,2011-08-23 21:12:54.820,2
565,10,492, ,2011-08-23 23:53:45.223,4
566,101,492, ,2011-08-23 23:54:44.690,3
567,144,492, ,2011-08-24 05:25:36.163,
569,32,492, ,2011-08-24 06:10:00.447,
577,50,92, ,2011-08-24 14:52:57.367,3
581,27,504, ,2011-08-24 15:33:12.133,1
586,124,504, ,2011-08-24 16:40:32.263,
590,27,504, ,2011-08-24 17:26:13.780,
599,77,493, ,2011-08-24 19:46:59.850,
600,77,219, ,2011-08-24 19:55:40.257,4
602,276,492, ,2011-08-24 20:54:17.567,
603,64,219, ,2011-08-24 22:56:17.493,
604,311,524, ,2011-08-24 23:15:33.210,1
605,124,493, ,2011-08-24 23:19:02.693,1
606,32,219, ,2011-08-24 23:22:49.710,2
612,26,219, ,2011-08-25 06:56:01.747,1
613,81,526, ,2011-08-25 08:48:10.397,
614,81,534, ,2011-08-25 08:56:09.687,1
616,27,219, ,2011-08-25 11:38:23.853,
617,26,219, ,2011-08-25 11:41:54.407,1
625,65,543, ,2011-08-25 15:26:48.110,
629,303,545, ,2011-08-25 19:59:50.533,
630,217,545,DVK,2011-08-25 20:38:32.497,
632,73,545, ,2011-08-25 21:27:45.383,
633,32,536, ,2011-08-25 22:49:34.823,
635,32,545, ,2011-08-25 23:06:40.940,
640,80,557, ,2011-08-26 01:40:11.980,
641,217,550, ,2011-08-26 03:27:18.873,1
642,80,558, ,2011-08-26 03:31:48.490,
643,80,558, ,2011-08-26 03:38:32.863,1
645,32,510, ,2011-08-26 04:01:23.827,1
646,32,315, ,2011-08-26 04:12:50.487,
648,154,558, ,2011-08-26 07:00:12.460,
650,336,561, ,2011-08-26 10:26:23.793,
651,190,561, ,2011-08-26 11:32:19.533,4
652,124,558,gunbuster363,2011-08-26 13:18:39.837,
653,124,558,Gilles,2011-08-26 13:19:56.560,
654,168,536, ,2011-08-26 13:52:25.023,1
657,56,565, ,2011-08-26 14:24:03.943,
658,217,559, ,2011-08-26 14:51:49.257,2
662,65,569, ,2011-08-26 21:49:25.210,
666,119,565, ,2011-08-27 00:40:36.563,3
668,13,571, ,2011-08-27 01:47:39.830,3
670,227,579, ,2011-08-27 06:25:03.457,1
671,227,543, ,2011-08-27 06:30:01.397,
672,154,536,zundarz,2011-08-27 09:09:54.933,2
674,303,26, ,2011-08-27 09:49:09.203,1
676,227,582, ,2011-08-27 17:45:51.663,
677,101,558, ,2011-08-27 21:21:42.520,
678,335,565, ,2011-08-27 23:14:25.823,1
679,190,611, ,2011-08-28 11:10:10.927,4
680,227,612, ,2011-08-28 13:22:58.323,
681,349,612, ,2011-08-28 14:23:52.077,
682,227,612, ,2011-08-28 14:27:19.420,
683,227,583, ,2011-08-28 14:28:57.920,
684,227,582, ,2011-08-28 14:33:10.953,
685,345,582, ,2011-08-28 17:23:53.153,
686,32,622, ,2011-08-28 18:19:20.940,
690,249,582, ,2011-08-29 06:53:36.403,1
693,119,394, ,2011-08-19 00:20:54.760,
694,159,611,ben,2011-08-29 17:46:08.797,
695,355,219, ,2011-08-29 20:57:53.770,
696,355,632, ,2011-08-29 20:59:26.547,
697,26,219, ,2011-08-29 21:24:03.597,1
698,252,583, ,2011-08-30 12:59:50.820,
699,342,635, ,2011-08-30 14:36:41.127,
700,227,583, ,2011-08-30 14:51:39.320,
701,227,345, ,2011-08-30 14:58:36.327,
703,136,345, ,2011-08-30 16:51:57.890,
704,99,219, ,2011-08-30 17:47:46.843,
705,359,633, ,2011-08-30 18:15:16.670,1
709,13,641, ,2011-08-30 21:39:57.043,7
710,74,640, ,2011-08-30 21:47:31.653,
711,366,475, ,2011-08-30 22:54:34.527,
715,32,643, ,2011-08-31 00:27:42.347,
716,13,644, ,2011-08-31 01:05:03.520,
717,321,530, ,2011-08-31 01:05:23.067,
718,80,530, ,2011-08-31 01:09:16.073,
719,374,646, ,2011-08-31 01:36:11.413,2
721,374,82, ,2011-08-31 01:45:21.070,
722,321,558, ,2011-08-31 02:29:32.773,3
723,321,557,gunbuster363,2011-08-31 02:38:33.240,1
