PostUserId,RespondUserId,QId,Time,days
127.0,203.0,242,2017-01-19 08:22:57.203,0
127.0,16.0,242,2017-01-20 20:57:21.980,2
9.0,139.0,72,2017-01-19 13:31:07.173,0
151.0,31.0,184,2017-01-19 15:45:19.933,0
151.0,16.0,184,2017-01-19 16:12:26.357,0
31.0,151.0,184,2017-07-03 08:56:57.933,165
151.0,31.0,184,2017-07-03 12:57:49.817,165
31.0,,279,2017-01-19 15:57:22.987,0
31.0,72.0,279,2017-01-19 17:24:55.180,1
31.0,17.0,279,2017-01-21 13:31:07.730,2
17.0,31.0,279,2017-01-21 13:40:16.750,2
220.0,203.0,278,2017-01-19 16:07:49.037,0
72.0,223.0,221,2017-01-19 16:15:08.470,0
72.0,80.0,221,2017-01-19 20:46:31.627,1
72.0,72.0,221,2017-01-19 20:47:01.087,1
31.0,29.0,275,2017-01-19 16:28:48.677,0
31.0,143.0,275,2017-01-19 21:06:01.683,1
72.0,189.0,174,2017-01-19 17:12:31.913,0
189.0,72.0,174,2017-01-19 17:20:14.127,0
123.0,17.0,288,2017-01-19 17:40:25.083,1
17.0,123.0,288,2017-01-19 18:20:43.670,1
153.0,71.0,293,2017-01-19 19:36:28.050,1
112.0,132.0,251,2017-01-19 20:45:46.470,1
221.0,72.0,308,2017-01-19 21:37:04.877,1
221.0,151.0,308,2017-01-19 23:25:37.620,1
221.0,17.0,308,2017-01-19 23:49:32.887,1
221.0,143.0,308,2017-01-21 10:54:46.703,2
143.0,31.0,307,2017-01-19 21:37:32.750,1
31.0,143.0,307,2017-01-19 21:39:31.583,1
16.0,16.0,309,2017-01-19 21:46:55.600,1
16.0,67.0,309,2017-01-19 22:58:55.383,1
16.0,85.0,309,2017-01-20 00:42:08.843,1
85.0,17.0,309,2017-01-22 01:47:31.707,3
17.0,85.0,309,2017-01-22 02:10:07.980,3
232.0,143.0,312,2017-01-19 22:15:47.057,1
232.0,132.0,312,2017-01-19 22:32:11.737,1
232.0,65.0,312,2017-01-19 23:00:38.597,1
232.0,31.0,312,2017-01-23 03:05:37.437,4
232.0,232.0,312,2017-01-23 17:57:54.350,5
143.0,132.0,318,2017-01-19 22:43:02.490,1
132.0,143.0,318,2017-01-19 22:44:28.303,1
143.0,289.0,318,2017-02-13 02:32:57.283,25
143.0,481.0,318,2017-02-15 18:56:02.020,28
58.0,188.0,328,2017-01-20 00:39:08.743,1
58.0,188.0,328,2017-01-23 05:00:38.327,4
188.0,188.0,336,2017-01-20 01:00:30.033,1
71.0,71.0,316,2017-01-20 02:41:50.563,1
71.0,115.0,316,2017-01-22 01:29:29.740,3
80.0,24.0,346,2017-01-20 03:00:25.510,1
24.0,80.0,346,2017-01-20 03:02:11.240,1
80.0,24.0,346,2017-01-20 03:05:40.707,1
80.0,17.0,346,2017-01-20 04:00:05.297,1
80.0,57.0,346,2017-02-12 16:01:04.330,24
188.0,24.0,337,2017-01-20 03:02:44.667,1
188.0,262.0,337,2017-01-22 12:51:27.853,3
50.0,151.0,354,2017-01-20 04:04:10.440,1
151.0,50.0,354,2017-01-20 04:06:23.580,1
76.0,,349,2017-01-20 04:55:51.543,1
186.0,58.0,360,2017-01-20 06:04:29.877,1
186.0,220.0,360,2017-01-20 09:49:27.707,1
58.0,186.0,360,2017-01-20 10:17:03.867,1
186.0,58.0,360,2017-01-20 10:40:18.350,1
168.0,11.0,361,2017-01-20 07:59:12.320,1
168.0,168.0,361,2017-01-20 08:08:46.753,1
168.0,11.0,361,2017-01-20 08:10:37.973,1
168.0,168.0,361,2017-01-20 08:12:11.393,1
151.0,80.0,368,2017-01-20 09:11:33.343,1
85.0,99.0,384,2017-01-20 12:45:59.843,1
99.0,244.0,384,2017-01-20 12:49:07.330,1
244.0,99.0,384,2017-01-20 12:50:13.233,1
85.0,29.0,384,2017-01-20 13:22:42.017,1
85.0,168.0,384,2017-01-20 13:24:12.183,1
168.0,29.0,384,2017-01-20 15:22:42.343,1
168.0,85.0,384,2017-01-20 16:28:20.267,1
85.0,168.0,384,2017-01-20 16:30:15.070,1
168.0,29.0,384,2017-01-20 17:28:25.683,2
29.0,168.0,384,2017-01-20 17:49:05.180,2
37.0,16.0,383,2017-01-20 14:11:11.910,1
16.0,37.0,383,2017-01-20 14:19:59.250,1
37.0,124.0,383,2017-01-21 18:54:36.310,3
151.0,139.0,350,2017-01-20 14:18:02.377,1
151.0,11.0,350,2017-02-16 08:10:12.630,28
72.0,17.0,390,2017-01-20 15:20:07.477,1
72.0,11.0,390,2017-01-20 20:39:09.583,2
10.0,71.0,418,2017-01-20 20:58:22.807,2
137.0,16.0,326,2017-01-20 21:08:26.270,2
16.0,137.0,326,2017-01-21 00:09:27.220,2
137.0,56.0,326,2017-03-11 13:21:33.073,51
56.0,137.0,326,2017-03-14 20:34:40.503,55
137.0,56.0,326,2017-03-14 20:49:01.957,55
143.0,16.0,421,2017-01-20 22:12:03.320,2
16.0,143.0,421,2017-01-20 22:13:00.240,2
143.0,,423,2017-01-20 22:47:20.887,2
143.0,143.0,423,2017-01-20 22:55:14.670,2
143.0,85.0,423,2017-01-24 02:59:15.993,5
42.0,67.0,426,2017-01-20 23:37:16.570,2
