QId,PostUserId,RespondUserId,Time,days
220,72.0,181.0,2017-01-19 05:23:08.367,0
221,72.0,123.0,2017-01-19 17:15:36.903,0
222,72.0,71.0,2017-01-19 02:48:48.373,0
232,,80.0,2017-01-19 04:09:38.047,0
237,181.0,124.0,2017-01-22 20:29:51.630,4
239,188.0,80.0,2017-01-19 06:12:22.043,0
240,189.0,72.0,2017-01-19 15:58:38.063,0
242,127.0,72.0,2017-01-19 14:51:52.873,0
244,58.0,72.0,2017-01-19 16:17:49.963,0
245,58.0,17.0,2017-01-19 12:58:34.010,0
248,129.0,72.0,2017-01-22 17:05:29.980,3
249,168.0,29.0,2017-01-19 11:39:08.363,0
249,168.0,1156.0,2017-03-25 15:47:24.330,65
251,112.0,17.0,2017-01-19 11:25:51.977,0
252,129.0,20.0,2017-01-19 15:39:33.687,0
253,80.0,80.0,2017-01-19 11:21:56.950,0
255,58.0,58.0,2017-01-19 11:23:19.573,0
264,129.0,129.0,2017-01-19 14:06:39.533,0
267,168.0,869.0,2017-02-28 10:38:52.570,40
267,168.0,168.0,2017-03-07 04:00:09.110,47
275,31.0,20.0,2017-01-19 20:54:40.317,1
276,62.0,203.0,2017-01-19 16:10:28.490,0
278,220.0,168.0,2017-01-19 15:45:27.723,0
278,220.0,220.0,2017-01-19 15:54:34.350,0
279,31.0,481.0,2017-02-15 18:14:12.103,28
286,21.0,17.0,2017-01-20 03:45:54.000,1
288,123.0,123.0,2017-01-19 23:11:33.277,1
289,37.0,9.0,2017-01-19 19:13:03.090,1
293,153.0,72.0,2017-01-19 19:52:04.707,1
294,225.0,9.0,2017-01-19 19:48:08.290,1
294,225.0,225.0,2017-02-01 19:18:21.363,14
300,43.0,80.0,2017-01-21 23:42:24.220,3
307,143.0,20.0,2017-01-19 22:33:35.197,1
308,221.0,132.0,2017-01-19 22:24:32.627,1
309,16.0,80.0,2017-01-22 01:23:09.830,3
312,232.0,,2017-01-19 23:29:14.033,1
313,65.0,58.0,2017-01-19 22:16:26.413,1
320,123.0,17.0,2017-01-20 00:00:04.283,1
328,58.0,143.0,2017-01-24 12:31:35.437,5
328,58.0,58.0,2017-02-12 11:47:04.047,24
329,17.0,72.0,2017-01-20 00:43:55.520,1
330,,181.0,2017-01-20 20:51:42.697,2
330,,1408.0,2017-05-14 23:08:45.117,116
331,17.0,123.0,2017-01-21 03:04:38.860,2
331,17.0,17.0,2017-01-26 02:24:08.917,7
333,72.0,289.0,2017-01-31 11:01:25.873,12
336,188.0,85.0,2017-01-20 14:57:49.543,1
336,188.0,869.0,2017-02-28 10:04:12.643,40
337,188.0,129.0,2017-04-20 09:29:59.677,91
340,17.0,71.0,2017-01-20 02:06:47.213,1
340,17.0,123.0,2017-01-20 02:25:45.970,1
340,17.0,390.0,2017-02-04 19:08:56.027,17
341,168.0,137.0,2017-01-20 02:11:28.420,1
341,168.0,17.0,2017-01-20 02:15:43.600,1
341,168.0,123.0,2017-01-20 02:48:26.897,1
346,80.0,80.0,2017-03-05 22:23:27.883,46
348,32.0,72.0,2017-01-20 03:55:49.243,1
348,32.0,,2017-01-22 16:15:46.213,3
350,151.0,80.0,2017-01-20 03:41:31.430,1
354,50.0,17.0,2017-01-20 04:04:48.850,1
354,50.0,240.0,2017-01-21 01:43:29.033,2
356,151.0,71.0,2017-01-20 20:54:10.540,2
357,115.0,20.0,2017-01-20 18:41:52.197,2
359,151.0,391.0,2017-02-24 22:31:44.743,37
360,186.0,17.0,2017-01-21 02:23:43.123,2
361,168.0,99.0,2017-01-20 09:53:53.957,1
362,181.0,72.0,2017-01-20 16:33:22.337,1
363,186.0,72.0,2017-01-20 14:57:00.293,1
363,186.0,289.0,2017-01-25 19:33:41.853,7
364,186.0,80.0,2017-01-20 07:39:30.050,1
365,76.0,123.0,2017-01-21 01:49:34.850,2
367,,143.0,2017-01-20 11:17:44.263,1
367,,115.0,2017-01-21 16:09:01.003,2
371,205.0,80.0,2017-01-20 10:25:42.343,1
371,205.0,58.0,2017-01-20 10:36:10.700,1
377,37.0,29.0,2017-01-20 11:04:34.093,1
378,151.0,132.0,2017-01-23 06:45:22.193,4
383,37.0,72.0,2017-01-21 15:49:01.317,2
384,85.0,29.0,2017-01-20 13:20:01.510,1
384,85.0,20.0,2017-01-20 15:19:31.110,1
389,62.0,17.0,2017-01-20 15:41:03.270,1
390,72.0,62.0,2017-01-20 15:43:32.573,1
404,67.0,201.0,2017-01-28 19:56:51.107,10
405,32.0,,2017-01-20 20:42:23.533,2
407,168.0,85.0,2017-01-20 19:58:25.480,2
409,86.0,72.0,2017-01-20 20:27:51.243,2
409,86.0,62.0,2017-01-20 20:28:19.223,2
410,16.0,448.0,2017-06-13 21:21:40.127,146
418,10.0,67.0,2017-01-20 21:00:02.890,2
418,10.0,85.0,2017-01-20 21:07:42.127,2
421,143.0,85.0,2017-01-20 22:47:20.047,2
421,143.0,1408.0,2017-05-14 17:17:24.597,115
423,143.0,37.0,2017-01-24 14:47:10.850,5
423,143.0,85.0,2017-01-24 22:00:05.173,6
425,143.0,17.0,2017-01-21 03:57:48.507,2
426,42.0,80.0,2017-01-21 00:10:21.537,2
428,17.0,72.0,2017-01-21 00:49:55.437,2
436,123.0,123.0,2017-01-21 02:13:06.480,2
436,123.0,262.0,2017-01-22 13:47:54.717,3
443,134.0,289.0,2017-02-13 10:18:46.393,25
444,80.0,20.0,2017-01-21 17:00:47.803,2
446,220.0,123.0,2017-01-21 12:49:22.000,2
447,31.0,241.0,2017-01-23 07:26:48.527,4
448,31.0,11.0,2017-01-22 10:54:36.797,3
470,141.0,71.0,2017-01-21 16:28:20.840,2
470,141.0,17.0,2017-01-21 17:04:31.527,2
473,25.0,17.0,2017-01-21 16:33:39.240,2
473,25.0,67.0,2017-01-21 17:32:46.347,3
475,25.0,67.0,2017-01-21 17:23:07.830,3
477,68.0,71.0,2017-01-21 20:11:28.857,3
477,68.0,,2017-01-21 21:26:57.047,3
477,68.0,869.0,2017-02-28 09:49:56.097,40
482,168.0,120.0,2017-01-28 11:53:45.920,9
488,143.0,17.0,2017-01-23 03:09:50.560,4
489,58.0,280.0,2017-01-25 09:03:45.443,6
491,97.0,58.0,2017-01-21 21:09:14.587,3
493,,141.0,2017-01-21 22:10:56.503,3
493,,17.0,2017-01-21 22:16:15.867,3
493,,124.0,2017-01-21 22:25:50.243,3
493,,391.0,2017-03-09 15:37:34.017,49
493,,406.0,2017-03-10 05:24:06.967,50
493,,869.0,2017-03-10 22:19:16.290,51
493,,1187.0,2017-03-29 11:58:29.457,69
493,,1383.0,2017-05-01 13:55:19.690,102
495,80.0,262.0,2017-01-22 14:20:33.013,3
500,58.0,225.0,2017-01-22 06:38:31.560,3
503,58.0,143.0,2017-01-21 22:58:40.717,3
503,58.0,123.0,2017-01-21 22:58:48.440,3
509,143.0,123.0,2017-01-22 02:45:08.197,3
510,58.0,71.0,2017-01-22 00:20:59.637,3
510,58.0,17.0,2017-01-22 00:24:06.493,3
513,141.0,129.0,2017-05-02 10:09:16.457,103
516,72.0,262.0,2017-01-22 13:20:15.557,3
588,17.0,255.0,2017-03-29 17:55:23.493,70
608,,406.0,2017-03-10 04:55:32.603,50
614,58.0,72.0,2017-01-22 23:36:38.090,4
615,,99.0,2017-05-23 08:52:35.673,124
621,58.0,58.0,2017-01-22 08:43:26.770,3
621,58.0,262.0,2017-01-22 12:06:21.727,3
621,58.0,203.0,2017-01-23 08:24:06.333,4
623,58.0,58.0,2017-01-22 09:16:39.530,3
623,58.0,406.0,2017-02-07 05:38:28.963,19
625,,132.0,2017-01-27 01:30:14.770,8
626,225.0,68.0,2017-02-01 06:53:05.023,13
658,143.0,58.0,2017-01-22 11:25:04.937,3
672,80.0,67.0,2017-01-22 13:28:18.807,3
672,80.0,101.0,2017-06-05 19:12:43.300,138
673,11.0,1185.0,2017-03-29 17:13:15.960,69
673,11.0,115.0,2017-04-20 03:21:21.863,91
673,11.0,57.0,2017-04-22 20:25:11.743,94
674,97.0,9.0,2017-01-22 12:50:49.080,3
678,143.0,123.0,2017-01-22 13:44:49.547,3
681,95.0,9.0,2017-01-22 13:29:31.480,3
688,143.0,262.0,2017-01-22 16:42:40.853,3
689,143.0,72.0,2017-01-22 16:09:41.610,3
691,71.0,17.0,2017-01-22 15:44:58.527,3
692,72.0,67.0,2017-01-22 15:48:52.850,3
692,72.0,17.0,2017-01-22 15:49:35.313,3
702,9.0,262.0,2017-01-22 16:54:51.713,3
702,9.0,17.0,2017-01-22 17:10:42.380,3
702,9.0,1617.0,2017-06-02 06:19:35.260,134
712,134.0,146.0,2017-01-23 14:11:22.867,4
715,143.0,58.0,2017-01-22 20:58:54.697,4
716,18.0,71.0,2017-01-22 21:28:32.887,4
718,143.0,1816.0,2017-07-05 19:20:01.837,168
721,143.0,72.0,2017-01-22 22:57:56.247,4
722,143.0,9.0,2017-01-23 07:59:29.133,4
722,143.0,35.0,2017-01-23 13:07:14.207,4
723,80.0,72.0,2017-01-22 23:13:12.690,4
728,174.0,241.0,2017-01-29 16:20:36.127,10
730,,71.0,2017-01-23 00:23:36.930,4
736,17.0,203.0,2017-01-23 08:16:59.057,4
736,17.0,129.0,2017-01-23 09:30:04.293,4
737,31.0,181.0,2017-01-23 03:56:09.923,4
737,31.0,198.0,2017-01-23 09:42:00.797,4
742,186.0,124.0,2017-01-23 19:42:58.283,5
752,143.0,72.0,2017-01-23 15:07:52.433,4
752,143.0,20.0,2017-02-12 18:08:34.467,25
753,143.0,72.0,2017-01-23 14:59:05.827,4
768,143.0,72.0,2017-01-23 15:22:37.797,4
769,143.0,85.0,2017-01-23 14:10:01.927,4
769,143.0,72.0,2017-01-23 15:34:23.103,4
771,95.0,58.0,2017-01-23 13:46:09.130,4
771,95.0,11.0,2017-01-23 15:47:29.333,4
771,95.0,736.0,2017-02-20 21:27:51.027,33
775,58.0,372.0,2017-02-01 07:21:14.880,13
779,250.0,273.0,2017-05-24 05:22:04.590,125
