@UserId,@UserName,Age,Location,UserCreationDate,Reputation,Views,UpVotes,DownVotes,LastAccess
130,Michael Pryor,,"New York, NY",2009-10-10 03:45:50.597,2235,358,203,39,2013-11-29T23:43:59.660
132,Sean Lin,,Malaysia,2009-10-10 03:54:06.653,143,11,1,1,2011-04-14T08:38:23.257
133,Raisins,,,2009-10-10 03:56:05.650,101,3,0,0,2011-03-18T05:32:56.487
134,Sev,,,2009-10-10 03:56:24.933,11,9,0,0,2009-10-12T06:14:33.400
136,Cody Brocious,,"Lawrenceville, GA",2009-10-10 04:02:29.837,131,26,0,0,2011-03-10T19:47:17.583
138,Jordan Muela,,"Austin, TX",2009-10-10 04:07:58.133,21,23,0,0,2010-01-29T21:17:57.467
145,Mark Thurston,,"Nova, OH",2009-10-10 04:25:57.623,121,12,0,0,2009-10-10T04:25:57.623
146,user146,,,2009-10-10 04:26:11.590,103,6,0,0,2010-11-19T06:57:11.460
150,StaplerScissor,,,2009-10-10 04:35:38.667,86,14,0,0,2009-10-24T19:37:55.947
155,Ed Loessi,,"Boston, MA",2009-10-10 04:49:40.890,21,23,0,0,2010-07-30T23:23:47.827
160,marcamillion,,Florida,2009-10-10 04:59:21.630,153,40,2,0,2013-11-08T19:52:31.190
161,user161,,,2009-10-10 05:08:56.670,71,15,0,0,2010-04-12T22:13:40.767
163,Remus Rusanu,,"Seattle, WA",2009-10-10 05:11:50.070,3,10,0,0,2010-03-10T04:12:05.000
164,gommm,,"Shanghai, China",2009-10-10 05:14:36.690,265,103,32,0,2012-02-07T06:15:04.303
167,joelhaus,,,2009-10-10 05:18:55.030,1,17,0,0,2013-03-02T02:05:53.980
169,vaske,,"Žednik, Serbia",2009-10-10 05:25:52.777,121,15,9,0,2011-09-20T13:09:19.307
172,lud0h,,,2009-10-10 05:42:22.363,264,11,46,1,2010-05-14T07:30:07.783
174,Vladimir Radmilovic,,"Novi Sad, Serbia",2009-10-10 05:46:57.307,121,33,8,0,2010-09-21T12:25:40.493
177,Mark Harrison,,"Piedmont, CA",2009-10-10 05:51:58.550,211,50,41,0,2011-06-29T22:28:08.110
180,jorgem,,"San Clemente, CA",2009-10-10 05:59:40.143,749,59,124,4,2013-12-05T16:57:16.103
186,Mark Kofman,,"Sunnyvale, CA",2009-10-10 06:11:36.677,216,12,7,0,2012-11-30T08:20:40.307
189,Elad Kehat,,Israel,2009-10-10 06:14:37.887,441,29,7,0,2011-11-22T07:03:40.133
190,Ben Mc,,"Spokane, WA",2009-10-10 06:18:02.987,391,51,5,0,2010-02-01T23:33:13.720
195,Mark,,,2009-10-10 06:51:07.033,51,9,0,0,2009-10-28T23:20:24.380
199,user199,,,2009-10-10 07:03:55.420,121,9,0,0,2009-10-10T07:03:55.420
201,warp,,,2009-10-10 07:16:16.650,151,72,0,0,2012-07-22T23:21:55.553
205,Thomaschaaf,,"Brunswick, Germany",2009-10-10 07:23:08.977,158,83,1,0,2011-10-08T00:59:31.067
206,user206,,,2009-10-10 07:28:40.747,21,4,0,0,2009-10-10T10:07:17.583
210,Neil Davidson,,"Cambridge, United Kingdom",2009-10-10 07:40:34.303,1829,314,26,4,2011-08-04T06:17:52.487
212,mark stephens,,,2009-10-10 07:42:53.897,976,44,6,3,2013-10-25T06:45:21.270
215,Peldi Guilizzoni,,Italy,2009-10-10 07:48:54.143,321,134,9,0,2010-06-01T18:36:42.920
218,RonGa,,"Tel Aviv, Israel",2009-10-10 07:58:31.113,2146,427,80,1,2013-01-25T06:46:57.463
219,tequilatango,,"Helsinki, Finland",2009-10-10 08:05:36.850,171,17,21,0,2012-10-11T19:54:53.807
221,davidw,,"Padua, Italy",2009-10-10 08:14:05.167,121,17,4,0,2011-06-15T15:01:49.367
222,Paul Brown,,"Seattle, WA",2009-10-10 08:19:06.470,31,10,0,0,2009-10-11T05:53:14.783
223,Alexandre Gomes,,,2009-10-10 08:19:13.737,95,34,3,0,2010-02-20T19:33:55.297
226,Derek Beda,,"San Francisco, CA",2009-10-10 08:23:52.203,221,74,46,0,2010-01-18T08:35:13.507
227,caahab,,Germany,2009-10-10 08:24:34.073,21,35,30,0,2011-07-04T15:47:14.733
237,sid6376,,,2009-10-10 08:55:40.647,6,3,0,0,2009-10-10T18:30:30.610
238,anthon,,Australia,2009-10-10 08:57:43.457,470,70,8,0,2013-05-20T05:08:13.447
239,pbreit,,,2009-10-10 08:57:46.203,379,46,1,0,2011-05-16T02:37:31.257
246,chrisco,,"Gothenburg, Sweden",2009-10-10 09:35:45.703,39,10,0,0,2009-10-10T09:35:45.703
249,MaLKaV_eS,,"Santander, Spain",2009-10-10 09:49:31.237,101,2,0,0,2011-02-07T05:57:16.417
250,phaedrus,,,2009-10-10 09:51:13.870,183,58,44,0,2013-11-07T22:01:09.853
251,phoenix24,,"Bangalore, India",2009-10-10 09:53:45.613,126,9,1,0,2011-11-21T02:49:50.130
257,middus,,,2009-10-10 10:24:07.357,111,5,0,0,2011-10-21T12:40:22.033
258,Sam Saffron,,"Sydney, Australia",2009-10-10 10:26:47.383,432,148,11,0,2012-08-06T23:25:55.763
259,MartinHN,,Denmark,2009-10-10 10:29:46.017,234,33,3,0,2012-11-20T20:48:33.123
260,user260,,,2009-10-10 10:31:37.420,11,6,0,0,2009-10-10T12:15:25.237
261,user261,,,2009-10-10 10:32:00.603,141,37,2,0,2011-11-29T12:39:44.950
264,Artur Soler,,"Barcelona, Spain",2009-10-10 10:52:18.907,206,24,34,0,2010-09-08T21:07:01.430
272,Jay,,,2009-10-10 11:32:25.190,131,18,0,0,2009-10-10T11:32:25.190
275,Antonio Cangiano,,"Toronto, Canada",2009-10-10 11:41:55.653,141,16,0,0,2009-10-10T15:36:09.133
276,Wilhelm,,,2009-10-10 11:50:00.213,113,8,0,0,2010-02-05T23:36:04.050
277,Jason Cianchette,,"Portland, ME",2009-10-10 11:52:04.340,506,82,2,1,2011-05-26T21:08:08.027
280,Ivo Flipse,,"Huissen, Netherlands",2009-10-10 12:06:32.667,101,3,22,0,2012-03-12T16:12:13.557
281,blekkzor,,,2009-10-10 12:06:46.847,39,10,0,0,2010-04-07T12:49:17.050
282,dalenkruse,,Minnesota,2009-10-10 12:07:20.307,599,69,16,2,2012-08-23T16:34:12.480
283,Alex Solomon,,,2009-10-10 12:12:46.700,41,18,0,0,2009-10-18T16:55:23.447
284,Micah,,"Atlanta, GA",2009-10-10 12:13:29.383,880,88,71,2,2010-06-21T16:00:34.623
286,Ronnie Barker,,"Cambridge, United Kingdom",2009-10-10 12:24:29.893,313,35,1,0,2010-03-04T07:28:27.000
287,user287,,,2009-10-10 12:29:01.333,164,36,2,0,2011-05-01T17:32:06.017
288,James Avery,,"Raleigh, NC",2009-10-10 12:32:17.207,560,138,40,1,2013-02-27T15:43:30.583
293,Max Cameron,,"Toronto, Canada",2009-10-10 12:48:20.053,56,25,0,0,2010-04-05T20:21:04.490
294,Claus Schwarm,,Germany,2009-10-10 12:50:13.733,1599,129,74,0,2010-06-10T08:43:17.687
296,Mark Beadles,,"Columbus, OH",2009-10-10 13:14:02.810,502,114,44,1,2013-01-27T17:33:19.630
297,Nawaz,,,2009-10-10 13:24:07.397,13,10,1,0,2009-11-24T11:10:45.117
299,Phil Wright,,"Melbourne, Australia",2009-10-10 13:26:32.513,131,18,5,0,2012-09-24T22:53:43.403
301,Doug Lindsay,,"Beverly, MA",2009-10-10 13:33:19.867,51,14,0,0,2009-10-28T00:51:20.130
302,Mike Sickler,,,2009-10-10 13:37:08.027,108,6,1,0,2013-07-12T18:49:51.060
303,pclark,,"Cambridge, United Kingdom",2009-10-10 13:43:34.933,734,92,6,2,2009-12-14T16:44:28.400
309,Arpit Tambi,,"Jaipur, India",2009-10-10 13:57:24.037,1050,109,36,1,2010-12-17T08:43:34.607
310,Yoav Shapira,,"Boston, MA",2009-10-10 14:01:22.123,216,17,5,0,2011-06-16T21:44:34.780
311,Denis Hennessy,,Ireland,2009-10-10 14:02:44.273,1363,118,102,3,2012-03-01T16:44:27.550
312,Alex Black,,"Waterloo, Canada",2009-10-10 14:03:30.870,196,18,12,0,2012-06-12T03:16:34.497
313,Sebastian Hoitz,,"Brunswick, Germany",2009-10-10 14:06:47.590,191,28,16,0,2011-05-25T13:39:06.753
317,Ade Olonoh,,California,2009-10-10 14:20:47.770,416,194,27,0,2013-12-05T23:55:51.410
323,Michael Dubakov,,,2009-10-10 14:47:37.210,39,29,0,0,2009-10-21T20:19:34.587
324,Doug Bright,,,2009-10-10 14:54:40.687,141,24,1,0,2009-12-29T21:15:12.497
325,Corey Maass,,"Brooklyn, NY",2009-10-10 14:55:01.333,201,29,8,0,2013-11-12T18:10:44.970
326,DThrasher,,United States,2009-10-10 14:55:15.553,884,132,250,1,2012-01-27T16:52:07.937
328,Emil Hajric,,"Novo Sarajevo, Bosnia and Herzegovina",2009-10-10 15:00:51.807,161,132,2,0,2011-08-19T17:46:38.090
329,Michael,,,2009-10-10 15:05:23.177,250,64,281,10,2011-02-10T21:56:22.333
330,Brice Stacey,,"Boston, MA",2009-10-10 15:07:13.140,74,19,2,0,2009-10-25T20:12:57.910
332,Brian Armstrong,,"San Francisco, CA",2009-10-10 15:14:49.413,121,16,6,0,2013-05-16T06:08:48.743
337,2_ghosts,,New Jersey,2009-10-10 15:32:28.807,71,20,34,0,2011-03-10T18:12:43.047
338,Kamil Rudnicki,,,2009-10-10 15:38:14.603,8,19,3,0,2010-09-03T11:03:14.443
343,Marco Fabbri,,,2009-10-10 15:55:28.443,61,16,6,0,2011-04-17T17:08:13.803
344,Jigar Shah,,"Mumbai, India",2009-10-10 16:04:55.090,131,17,0,0,2012-03-01T15:53:30.117
346,Bob Walsh,,California,2009-10-10 16:14:09.370,2620,604,85,3,2013-03-04T17:31:37.427
351,Xavi,,"San Francisco, CA",2009-10-10 16:36:25.803,101,1,2,0,2011-03-10T19:47:49.500
352,JeremiahLee,,"San Francisco, CA",2009-10-10 16:39:15.673,151,14,1,0,2012-02-04T23:55:20.730
353,John F. Dini,,United States,2009-10-10 16:42:41.837,96,22,0,0,2009-10-24T14:02:08.240
356,Jason Evanish,,"Boston, MA",2009-10-10 16:48:00.183,83,47,0,0,2010-06-28T02:02:22.000
357,Michelle Grenier Esq Bus Atty,,,2009-10-10 16:54:09.177,66,9,0,0,2009-10-10T16:54:09.177
359,Tiago,,,2009-10-10 16:57:23.553,333,75,3,1,2013-02-06T21:05:16.277
361,Michelle Grenier Bus Atty,,"Portland, ME",2009-10-10 17:07:39.907,59,28,0,0,2010-03-08T16:16:49.840
367,subbu a,,"Chicago, IL",2009-10-10 17:29:40.783,31,9,0,0,2009-10-12T13:34:36.830
371,Alex Balashov,,"Atlanta, GA",2009-10-10 17:39:38.943,121,34,0,0,2009-10-11T21:32:57.670
372,user372,,,2009-10-10 17:41:04.647,101,4,0,0,2012-08-31T20:42:20.317
373,Tony,,"Waterloo, Canada",2009-10-10 17:43:46.410,358,48,25,1,2009-11-10T22:29:18.500
377,El Gringo Burrito,,,2009-10-10 18:09:40.017,11,16,0,0,2009-10-28T03:16:44.400
380,anonimouse,,,2009-10-10 18:21:58.423,119,73,0,0,2009-12-04T03:49:00.417
383,nat,,"Munich, Germany",2009-10-10 18:30:47.223,96,31,0,0,2011-10-29T15:47:03.160
385,DragonBorn,,,2009-10-10 18:40:11.140,111,10,0,0,2013-05-15T18:28:55.580
387,tsummit,,Pennsylvania,2009-10-10 18:46:09.047,116,23,6,0,2010-02-20T14:35:17.497
391,user391,,,2009-10-10 19:28:23.197,81,20,1,0,2013-09-14T23:43:31.987
392,Usman Sheikh,,"Singapore, Singapore",2009-10-10 19:33:12.050,1718,351,55,1,2010-06-01T00:55:14.937
393,jason,,,2009-10-10 19:44:33.247,152,22,10,3,2013-03-03T19:47:12.673
