,time-delta,jaccard,name
0,0,1.0,literature
1,1,0.8235294117647058,literature
2,2,0.7058823529411765,literature
3,3,0.6176470588235294,literature
4,4,0.7777777777777778,literature
5,5,0.5882352941176471,literature
6,6,0.5294117647058824,literature
7,7,0.6,literature
8,8,0.6571428571428571,literature
9,9,0.625,literature
10,10,0.6097560975609756,literature
11,11,0.6097560975609756,literature
12,12,0.5952380952380952,literature
13,13,0.6428571428571429,literature
14,14,0.6428571428571429,literature
15,15,0.6190476190476191,literature
16,16,0.5952380952380952,literature
17,17,0.5952380952380952,literature
18,18,0.5952380952380952,literature
19,19,0.5476190476190477,literature
20,20,0.5,literature
21,21,0.4318181818181818,literature
22,22,0.4318181818181818,literature
23,23,0.4222222222222222,literature
24,24,0.4222222222222222,literature
25,25,0.4222222222222222,literature
26,26,0.4418604651162791,literature
27,27,0.4222222222222222,literature
28,28,0.36363636363636365,literature
29,29,0.36363636363636365,literature
30,30,0.36363636363636365,literature
31,31,0.38636363636363635,literature
32,32,0.38636363636363635,literature
33,33,0.3953488372093023,literature
34,34,0.37209302325581395,literature
35,35,0.32558139534883723,literature
36,36,0.32558139534883723,literature
37,37,0.3181818181818182,literature
38,38,0.29545454545454547,literature
39,39,0.29545454545454547,literature
40,40,0.2682926829268293,literature
41,41,0.2926829268292683,literature
42,42,0.2926829268292683,literature
43,43,0.28205128205128205,literature
44,44,0.3,literature
45,45,0.3,literature
46,46,0.3,literature
47,47,0.27906976744186046,literature
48,48,0.275,literature
49,49,0.25,literature
50,50,0.2727272727272727,literature
51,51,0.24324324324324326,literature
52,52,0.19444444444444445,literature
53,53,0.2222222222222222,literature
54,54,0.19444444444444445,literature
55,55,0.2222222222222222,literature
56,56,0.2222222222222222,literature
57,57,0.2222222222222222,literature
58,58,0.2222222222222222,literature
59,59,0.2222222222222222,literature
60,60,0.2222222222222222,literature
61,61,0.2222222222222222,literature
62,62,0.22857142857142856,literature
63,63,0.23529411764705882,literature
64,64,0.2222222222222222,literature
65,65,0.22857142857142856,literature
66,66,0.22857142857142856,literature
67,67,0.22857142857142856,literature
68,68,0.22857142857142856,literature
69,69,0.22857142857142856,literature
70,70,0.22857142857142856,literature
71,71,0.22857142857142856,literature
72,72,0.22857142857142856,literature
73,73,0.22857142857142856,literature
74,74,0.22857142857142856,literature
75,75,0.22857142857142856,literature
76,76,0.2702702702702703,literature
77,77,0.2702702702702703,literature
78,78,0.2777777777777778,literature
79,79,0.2777777777777778,literature
80,80,0.2777777777777778,literature
81,81,0.2222222222222222,literature
82,82,0.24324324324324326,literature
83,83,0.2,literature
84,84,0.22857142857142856,literature
85,85,0.17142857142857143,literature
86,86,0.11428571428571428,literature
87,87,0.11428571428571428,literature
88,88,0.14285714285714285,literature
89,89,0.2571428571428571,literature
90,90,0.2571428571428571,literature
91,91,0.2571428571428571,literature
92,92,0.2857142857142857,literature
93,93,0.3055555555555556,literature
94,94,0.2972972972972973,literature
95,95,0.2972972972972973,literature
96,96,0.2702702702702703,literature
97,97,0.24324324324324326,literature
98,98,0.1388888888888889,literature
99,99,0.1388888888888889,literature
100,100,0.1388888888888889,literature
101,101,0.1388888888888889,literature
102,102,0.16666666666666666,literature
103,103,0.19444444444444445,literature
104,104,0.14285714285714285,literature
105,105,0.11428571428571428,literature
106,106,0.11428571428571428,literature
107,107,0.11428571428571428,literature
108,108,0.11428571428571428,literature
109,109,0.14285714285714285,literature
110,110,0.14285714285714285,literature
111,111,0.11428571428571428,literature
112,112,0.11764705882352941,literature
113,113,0.11764705882352941,literature
114,114,0.11764705882352941,literature
115,115,0.11764705882352941,literature
116,116,0.11764705882352941,literature
117,117,0.11764705882352941,literature
118,118,0.11764705882352941,literature
119,119,0.11764705882352941,literature
120,120,0.11764705882352941,literature
121,121,0.11764705882352941,literature
122,122,0.11764705882352941,literature
123,123,0.11764705882352941,literature
124,124,0.11764705882352941,literature
125,125,0.11764705882352941,literature
126,126,0.11764705882352941,literature
127,127,0.11764705882352941,literature
128,128,0.11764705882352941,literature
129,129,0.11764705882352941,literature
130,130,0.11764705882352941,literature
131,131,0.11764705882352941,literature
132,132,0.11764705882352941,literature
133,133,0.11428571428571428,literature
134,134,0.1111111111111111,literature
135,135,0.1111111111111111,literature
136,136,0.1111111111111111,literature
137,137,0.1111111111111111,literature
138,138,0.1111111111111111,literature
139,139,0.1111111111111111,literature
140,140,0.1111111111111111,literature
141,141,0.1111111111111111,literature
142,142,0.11428571428571428,literature
143,143,0.1111111111111111,literature
144,144,0.1111111111111111,literature
145,145,0.1111111111111111,literature
146,146,0.1388888888888889,literature
147,147,0.1388888888888889,literature
148,148,0.1111111111111111,literature
149,149,0.1111111111111111,literature
150,1,0.8235294117647058,literature
151,0,1.0,literature
152,1,0.8571428571428571,literature
153,2,0.75,literature
154,3,0.8709677419354839,literature
155,4,0.7142857142857143,literature
156,5,0.6428571428571429,literature
157,6,0.7241379310344828,literature
158,7,0.7931034482758621,literature
159,8,0.6857142857142857,literature
160,9,0.6666666666666666,literature
161,10,0.6666666666666666,literature
162,11,0.6486486486486487,literature
163,12,0.7027027027027027,literature
164,13,0.7027027027027027,literature
165,14,0.6756756756756757,literature
166,15,0.6486486486486487,literature
167,16,0.6486486486486487,literature
168,17,0.6486486486486487,literature
169,18,0.6388888888888888,literature
170,19,0.5789473684210527,literature
171,20,0.5,literature
172,21,0.5,literature
173,22,0.48717948717948717,literature
174,23,0.48717948717948717,literature
175,24,0.48717948717948717,literature
176,25,0.5135135135135135,literature
177,26,0.48717948717948717,literature
178,27,0.42105263157894735,literature
179,28,0.42105263157894735,literature
180,29,0.42105263157894735,literature
181,30,0.4473684210526316,literature
182,31,0.4473684210526316,literature
183,32,0.4594594594594595,literature
184,33,0.43243243243243246,literature
185,34,0.3783783783783784,literature
186,35,0.3783783783783784,literature
187,36,0.3684210526315789,literature
188,37,0.34210526315789475,literature
189,38,0.34210526315789475,literature
190,39,0.3142857142857143,literature
191,40,0.34285714285714286,literature
192,41,0.34285714285714286,literature
193,42,0.3333333333333333,literature
194,43,0.35294117647058826,literature
195,44,0.35294117647058826,literature
196,45,0.35294117647058826,literature
197,46,0.32432432432432434,literature
198,47,0.3235294117647059,literature
199,48,0.2894736842105263,literature
200,49,0.3157894736842105,literature
201,50,0.2903225806451613,literature
202,51,0.23333333333333334,literature
203,52,0.26666666666666666,literature
204,53,0.23333333333333334,literature
205,54,0.26666666666666666,literature
206,55,0.26666666666666666,literature
207,56,0.26666666666666666,literature
208,57,0.26666666666666666,literature
209,58,0.26666666666666666,literature
210,59,0.26666666666666666,literature
211,60,0.26666666666666666,literature
212,61,0.27586206896551724,literature
213,62,0.2857142857142857,literature
214,63,0.26666666666666666,literature
215,64,0.27586206896551724,literature
216,65,0.27586206896551724,literature
217,66,0.27586206896551724,literature
218,67,0.27586206896551724,literature
219,68,0.27586206896551724,literature
220,69,0.27586206896551724,literature
221,70,0.27586206896551724,literature
222,71,0.27586206896551724,literature
223,72,0.27586206896551724,literature
224,73,0.27586206896551724,literature
225,74,0.27586206896551724,literature
226,75,0.3225806451612903,literature
227,76,0.3225806451612903,literature
228,77,0.3333333333333333,literature
229,78,0.3333333333333333,literature
230,79,0.3333333333333333,literature
231,80,0.26666666666666666,literature
232,81,0.2903225806451613,literature
233,82,0.2413793103448276,literature
234,83,0.27586206896551724,literature
235,84,0.20689655172413793,literature
236,85,0.13793103448275862,literature
237,86,0.13793103448275862,literature
238,87,0.1724137931034483,literature
239,88,0.3103448275862069,literature
240,89,0.3103448275862069,literature
241,90,0.3103448275862069,literature
242,91,0.3448275862068966,literature
243,92,0.36666666666666664,literature
244,93,0.3548387096774194,literature
245,94,0.3548387096774194,literature
246,95,0.3225806451612903,literature
247,96,0.2903225806451613,literature
248,97,0.16666666666666666,literature
249,98,0.16666666666666666,literature
250,99,0.16666666666666666,literature
251,100,0.16666666666666666,literature
252,101,0.2,literature
253,102,0.23333333333333334,literature
254,103,0.1724137931034483,literature
255,104,0.13793103448275862,literature
256,105,0.13793103448275862,literature
257,106,0.13793103448275862,literature
258,107,0.13793103448275862,literature
259,108,0.1724137931034483,literature
260,109,0.1724137931034483,literature
261,110,0.13793103448275862,literature
