,t1,t2,J
158,1.0,8.0,0.5789473684210527
159,1.0,9.0,0.5789473684210527
160,1.0,10.0,0.5882352941176471
161,1.0,11.0,0.5882352941176471
162,1.0,12.0,0.5882352941176471
163,1.0,13.0,0.5882352941176471
164,1.0,14.0,0.5
165,1.0,15.0,0.4444444444444444
166,1.0,16.0,0.45
167,1.0,17.0,0.45
168,1.0,18.0,0.45
169,1.0,19.0,0.45
170,1.0,20.0,0.45
171,1.0,21.0,0.45454545454545453
172,1.0,22.0,0.3333333333333333
173,1.0,23.0,0.35
174,1.0,24.0,0.2631578947368421
175,1.0,25.0,0.3157894736842105
176,1.0,26.0,0.3157894736842105
177,1.0,27.0,0.3157894736842105
178,1.0,28.0,0.2857142857142857
179,1.0,29.0,0.3333333333333333
180,1.0,30.0,0.3333333333333333
181,1.0,31.0,0.3333333333333333
182,1.0,32.0,0.3181818181818182
183,1.0,33.0,0.2727272727272727
184,1.0,34.0,0.36363636363636365
185,1.0,35.0,0.3333333333333333
186,1.0,36.0,0.3333333333333333
187,1.0,37.0,0.35
188,1.0,38.0,0.35
189,1.0,39.0,0.35
190,1.0,40.0,0.3
191,1.0,41.0,0.3
192,1.0,42.0,0.25
193,1.0,43.0,0.25
194,1.0,44.0,0.2631578947368421
195,1.0,45.0,0.2631578947368421
196,1.0,46.0,0.2631578947368421
197,1.0,47.0,0.2631578947368421
198,1.0,48.0,0.25
199,1.0,49.0,0.25
200,1.0,50.0,0.22727272727272727
201,1.0,51.0,0.20833333333333334
202,1.0,52.0,0.25
203,1.0,53.0,0.2608695652173913
204,1.0,54.0,0.19047619047619047
205,1.0,55.0,0.14285714285714285
206,1.0,56.0,0.14285714285714285
207,1.0,57.0,0.14285714285714285
208,1.0,58.0,0.23809523809523808
209,1.0,59.0,0.21739130434782608
210,1.0,60.0,0.21739130434782608
211,1.0,61.0,0.21739130434782608
212,1.0,62.0,0.22727272727272727
213,1.0,63.0,0.22727272727272727
214,1.0,64.0,0.22727272727272727
215,1.0,65.0,0.18181818181818182
216,1.0,66.0,0.18181818181818182
217,1.0,67.0,0.18181818181818182
218,1.0,68.0,0.18181818181818182
219,1.0,69.0,0.18181818181818182
220,1.0,70.0,0.17391304347826086
221,1.0,71.0,0.17391304347826086
222,1.0,72.0,0.13043478260869565
223,1.0,73.0,0.13636363636363635
224,1.0,74.0,0.16666666666666666
225,1.0,75.0,0.16666666666666666
226,1.0,76.0,0.23076923076923078
227,1.0,77.0,0.2
228,1.0,78.0,0.13043478260869565
229,1.0,79.0,0.15384615384615385
230,1.0,80.0,0.15384615384615385
231,1.0,81.0,0.16
232,1.0,82.0,0.16666666666666666
233,1.0,83.0,0.16666666666666666
234,1.0,84.0,0.16666666666666666
235,1.0,85.0,0.16666666666666666
236,1.0,86.0,0.125
237,1.0,87.0,0.125
238,1.0,88.0,0.125
239,1.0,89.0,0.125
240,1.0,90.0,0.125
241,1.0,91.0,0.125
242,1.0,92.0,0.125
243,1.0,93.0,0.125
244,1.0,94.0,0.125
245,1.0,95.0,0.125
246,1.0,96.0,0.12
247,1.0,97.0,0.12
248,1.0,98.0,0.11538461538461539
249,1.0,99.0,0.11538461538461539
250,1.0,100.0,0.1111111111111111
251,1.0,101.0,0.10714285714285714
252,1.0,102.0,0.1111111111111111
253,1.0,103.0,0.10714285714285714
254,1.0,104.0,0.10714285714285714
255,1.0,105.0,0.10714285714285714
256,1.0,106.0,0.10714285714285714
257,1.0,107.0,0.10344827586206896
258,1.0,108.0,0.10344827586206896
259,1.0,109.0,0.10344827586206896
260,1.0,110.0,0.10344827586206896
261,1.0,111.0,0.10344827586206896
262,1.0,112.0,0.10344827586206896
263,1.0,113.0,0.12
264,1.0,114.0,0.11538461538461539
265,1.0,115.0,0.10714285714285714
266,1.0,116.0,0.12
267,1.0,117.0,0.13043478260869565
268,1.0,118.0,0.13043478260869565
269,1.0,119.0,0.13043478260869565
270,1.0,120.0,0.13636363636363635
271,1.0,121.0,0.13636363636363635
272,1.0,122.0,0.13636363636363635
273,1.0,123.0,0.125
274,1.0,124.0,0.08333333333333333
275,1.0,125.0,0.08333333333333333
276,1.0,126.0,0.08333333333333333
277,1.0,127.0,0.08
278,1.0,128.0,0.05263157894736842
279,1.0,129.0,0.05263157894736842
280,1.0,130.0,0.05263157894736842
281,1.0,131.0,0.05263157894736842
282,1.0,132.0,0.05263157894736842
283,1.0,133.0,0.045454545454545456
284,1.0,134.0,0.045454545454545456
285,1.0,135.0,0.045454545454545456
286,1.0,136.0,0.045454545454545456
287,1.0,137.0,0.045454545454545456
288,1.0,138.0,0.045454545454545456
289,1.0,139.0,0.045454545454545456
