AId,AUserId,QId,ATime,AScore,ACommentCount
351,80,350,2017-01-20 03:41:31.430,12,0
352,17,286,2017-01-20 03:45:54.000,3,4
353,72,348,2017-01-20 03:55:49.243,2,5
355,17,354,2017-01-20 04:04:48.850,20,0
366,80,364,2017-01-20 07:39:30.050,10,0
369,99,361,2017-01-20 09:53:53.957,3,4
370,,123,2017-01-20 09:54:46.407,6,0
372,80,371,2017-01-20 10:25:42.343,23,2
374,58,371,2017-01-20 10:36:10.700,16,0
379,29,377,2017-01-20 11:04:34.093,6,0
380,143,367,2017-01-20 11:17:44.263,5,0
385,29,384,2017-01-20 13:20:01.510,4,0
386,17,174,2017-01-20 13:26:20.230,13,1
387,72,363,2017-01-20 14:57:00.293,9,3
388,85,336,2017-01-20 14:57:49.543,13,1
391,20,384,2017-01-20 15:19:31.110,14,2
396,17,389,2017-01-20 15:41:03.270,18,2
397,62,390,2017-01-20 15:43:32.573,19,2
398,72,362,2017-01-20 16:33:22.337,2,2
406,20,357,2017-01-20 18:41:52.197,4,0
408,85,407,2017-01-20 19:58:25.480,13,5
411,72,409,2017-01-20 20:27:51.243,14,0
412,62,409,2017-01-20 20:28:19.223,18,3
413,,405,2017-01-20 20:42:23.533,5,0
416,181,330,2017-01-20 20:51:42.697,8,3
417,71,356,2017-01-20 20:54:10.540,15,5
419,67,418,2017-01-20 21:00:02.890,4,1
420,85,418,2017-01-20 21:07:42.127,10,0
424,85,421,2017-01-20 22:47:20.047,8,6
427,80,426,2017-01-21 00:10:21.537,18,1
429,72,428,2017-01-21 00:49:55.437,4,0
434,240,354,2017-01-21 01:43:29.033,13,0
435,123,365,2017-01-21 01:49:34.850,0,0
437,123,436,2017-01-21 02:13:06.480,7,0
438,17,360,2017-01-21 02:23:43.123,16,1
441,123,331,2017-01-21 03:04:38.860,0,5
442,17,425,2017-01-21 03:57:48.507,5,1
445,124,125,2017-01-21 08:10:55.810,8,0
449,123,446,2017-01-21 12:49:22.000,10,0
471,72,383,2017-01-21 15:49:01.317,4,0
472,115,367,2017-01-21 16:09:01.003,6,2
474,71,470,2017-01-21 16:28:20.840,4,0
476,17,473,2017-01-21 16:33:39.240,4,0
478,20,444,2017-01-21 17:00:47.803,12,4
479,17,470,2017-01-21 17:04:31.527,5,3
480,67,475,2017-01-21 17:23:07.830,3,0
481,67,473,2017-01-21 17:32:46.347,3,0
484,17,14,2017-01-21 18:52:42.163,6,0
486,71,477,2017-01-21 20:11:28.857,5,0
492,58,491,2017-01-21 21:09:14.587,7,4
494,,477,2017-01-21 21:26:57.047,14,1
498,141,493,2017-01-21 22:10:56.503,1,6
499,17,493,2017-01-21 22:16:15.867,9,12
501,124,493,2017-01-21 22:25:50.243,0,0
504,143,503,2017-01-21 22:58:40.717,2,0
505,123,503,2017-01-21 22:58:48.440,3,0
506,80,300,2017-01-21 23:42:24.220,6,0
511,71,510,2017-01-22 00:20:59.637,4,7
512,17,510,2017-01-22 00:24:06.493,4,1
517,80,309,2017-01-22 01:23:09.830,6,2
606,123,509,2017-01-22 02:45:08.197,6,2
613,225,500,2017-01-22 06:38:31.560,6,2
622,58,621,2017-01-22 08:43:26.770,42,0
624,58,623,2017-01-22 09:16:39.530,12,5
627,11,448,2017-01-22 10:54:36.797,10,0
659,58,658,2017-01-22 11:25:04.937,6,0
661,262,621,2017-01-22 12:06:21.727,61,0
675,9,674,2017-01-22 12:50:49.080,14,2
680,262,516,2017-01-22 13:20:15.557,7,5
682,67,672,2017-01-22 13:28:18.807,3,1
684,9,681,2017-01-22 13:29:31.480,9,0
685,123,678,2017-01-22 13:44:49.547,3,0
686,262,436,2017-01-22 13:47:54.717,6,4
687,262,495,2017-01-22 14:20:33.013,4,0
693,17,691,2017-01-22 15:44:58.527,7,0
694,67,692,2017-01-22 15:48:52.850,4,0
697,17,692,2017-01-22 15:49:35.313,16,2
698,72,689,2017-01-22 16:09:41.610,4,0
699,,348,2017-01-22 16:15:46.213,15,6
701,262,688,2017-01-22 16:42:40.853,8,3
703,262,702,2017-01-22 16:54:51.713,8,0
706,72,248,2017-01-22 17:05:29.980,0,1
707,17,702,2017-01-22 17:10:42.380,29,2
714,124,237,2017-01-22 20:29:51.630,3,0
717,58,715,2017-01-22 20:58:54.697,14,1
720,71,716,2017-01-22 21:28:32.887,6,0
724,72,721,2017-01-22 22:57:56.247,5,0
725,72,723,2017-01-22 23:13:12.690,6,0
726,72,614,2017-01-22 23:36:38.090,4,0
731,71,730,2017-01-23 00:23:36.930,5,4
740,17,488,2017-01-23 03:09:50.560,3,1
741,181,737,2017-01-23 03:56:09.923,5,2
743,132,378,2017-01-23 06:45:22.193,9,2
744,241,447,2017-01-23 07:26:48.527,7,6
745,9,722,2017-01-23 07:59:29.133,4,6
746,203,736,2017-01-23 08:16:59.057,7,0
747,203,621,2017-01-23 08:24:06.333,-7,1
748,129,736,2017-01-23 09:30:04.293,7,7
749,198,737,2017-01-23 09:42:00.797,4,4
770,35,722,2017-01-23 13:07:14.207,25,4
772,58,771,2017-01-23 13:46:09.130,6,0
773,85,769,2017-01-23 14:10:01.927,0,4
774,146,712,2017-01-23 14:11:22.867,5,0
777,72,753,2017-01-23 14:59:05.827,4,2
778,72,752,2017-01-23 15:07:52.433,7,0
780,72,768,2017-01-23 15:22:37.797,3,0
781,72,769,2017-01-23 15:34:23.103,7,0
782,11,771,2017-01-23 15:47:29.333,19,0
799,85,784,2017-01-23 19:16:36.333,10,0
801,58,791,2017-01-23 19:30:04.687,15,5
802,124,742,2017-01-23 19:42:58.283,4,0
803,262,800,2017-01-23 19:54:55.007,9,0
806,58,805,2017-01-23 21:02:31.100,16,0
807,262,783,2017-01-23 21:14:22.060,6,0
811,85,808,2017-01-23 22:07:40.527,2,2
813,132,126,2017-01-23 22:35:34.803,5,2
816,71,815,2017-01-24 01:20:28.403,11,0
821,123,805,2017-01-24 02:33:18.033,6,1
823,80,822,2017-01-24 02:52:19.677,9,0
828,181,788,2017-01-24 05:36:34.563,6,0
833,124,827,2017-01-24 09:59:16.287,11,13
834,80,832,2017-01-24 10:05:03.483,11,2
835,11,831,2017-01-24 10:12:36.340,10,0
837,143,830,2017-01-24 11:03:56.690,8,0
869,143,328,2017-01-24 12:31:35.437,0,3
874,96,873,2017-01-24 14:20:04.050,9,4
875,17,873,2017-01-24 14:23:29.213,12,0
876,37,423,2017-01-24 14:47:10.850,0,0
884,280,883,2017-01-24 16:13:55.817,8,2
886,33,839,2017-01-24 17:55:34.167,4,0
887,29,873,2017-01-24 18:21:15.237,5,0
889,,888,2017-01-24 19:33:33.630,15,0
893,101,892,2017-01-24 21:26:33.017,6,1
894,280,892,2017-01-24 21:56:55.390,5,2
896,85,423,2017-01-24 22:00:05.173,3,0
921,33,840,2017-01-24 23:00:04.177,8,0
925,123,922,2017-01-24 23:34:48.510,4,2
926,,924,2017-01-25 00:08:55.083,3,0
929,85,928,2017-01-25 00:32:59.577,0,2
932,123,931,2017-01-25 01:19:44.520,1,5
934,141,931,2017-01-25 01:41:19.580,2,3
936,289,935,2017-01-25 04:20:45.477,10,5
943,280,489,2017-01-25 09:03:45.443,10,0
944,289,937,2017-01-25 09:10:58.947,6,0
945,27,891,2017-01-25 11:17:00.557,3,1
949,76,927,2017-01-25 12:01:53.633,13,2
951,76,878,2017-01-25 12:50:39.083,12,1
955,225,952,2017-01-25 13:27:56.447,11,0
958,41,957,2017-01-25 14:09:26.493,19,1
959,17,956,2017-01-25 14:43:55.043,17,2
968,84,930,2017-01-25 18:05:01.693,2,4
986,225,891,2017-01-25 19:22:20.223,8,5
987,289,363,2017-01-25 19:33:41.853,8,0
989,84,988,2017-01-25 19:48:27.363,1,2
990,262,977,2017-01-25 19:51:41.097,4,0
993,9,969,2017-01-25 20:59:53.120,4,0
996,225,991,2017-01-25 21:18:08.310,10,0
997,71,992,2017-01-25 21:45:16.157,3,0
998,132,946,2017-01-25 23:08:16.347,7,0
1000,262,999,2017-01-25 23:34:13.490,17,5
1001,132,891,2017-01-25 23:44:35.423,2,0
1006,17,1005,2017-01-26 02:05:32.323,1,0
1008,17,331,2017-01-26 02:24:08.917,10,6
1013,72,1012,2017-01-26 05:45:46.913,10,0
1017,143,933,2017-01-26 10:37:00.560,-2,0
1018,129,1016,2017-01-26 10:37:34.133,21,1
1021,80,1019,2017-01-26 11:39:15.133,7,0
1024,129,1022,2017-01-26 12:20:18.563,14,2
1027,17,1025,2017-01-26 12:37:11.937,8,1
1030,99,1022,2017-01-26 13:32:13.870,16,3
1032,20,933,2017-01-26 16:42:04.083,4,0
1041,37,1038,2017-01-26 18:50:33.843,8,0
1055,289,895,2017-01-26 21:45:28.443,7,0
1056,123,1050,2017-01-26 22:35:32.730,8,1
1057,17,1054,2017-01-26 23:32:25.317,10,2
1059,17,1052,2017-01-26 23:56:45.053,9,5
1061,132,625,2017-01-27 01:30:14.770,1,3
