First_day,N_nodes,L/N,clustering,clustering_ER,clustering_BA,clustering/clustering_ER,L/N_core,N_core,L/N_core_per,mean_core_dr,mean_core/per_dr
0,143,2.944055944055944,0.2670337207864153,0.04146557667684428,0.0638306232945061,6.439889233122268,5.25,28,1.6013986013986015,22.119146769712472,8.048680397235472
1,136,2.801470588235294,0.25177670463341834,0.04150326797385621,0.06260295362226267,6.0664308360492925,4.476190476190476,21,1.6691176470588236,26.6896073851478,8.323756175849201
2,137,2.678832116788321,0.23482929656875032,0.03939458995276943,0.059599613017645145,5.960952934153891,4.157894736842105,19,1.5985401459854014,29.249824122629768,8.846603566948204
3,139,2.539568345323741,0.22210814576826088,0.03680533833802523,0.0560108998530617,6.034672028508187,4.2,20,1.4460431654676258,28.172506792894307,8.915146052245444
4,140,2.5142857142857142,0.22638929083270262,0.03617677286742035,0.05521441483293966,6.257863067619877,4.2,20,1.4142857142857144,28.2241177322715,8.940411051044991
5,139,2.4892086330935252,0.2244019173816284,0.036075487436138046,0.054900202122264444,6.2203433225641565,3.9523809523809526,21,1.4460431654676258,27.194666103678962,9.28800388425169
6,140,2.4642857142857144,0.2210664726852252,0.03545734840698869,0.05411640090160279,6.234715302107946,3.9047619047619047,21,1.4357142857142857,26.058685236405932,9.072876576500981
7,140,2.407142857142857,0.21709840795391933,0.034635149023638234,0.0528615278372178,6.268152846859451,3.9,20,1.3857142857142857,26.785882183673557,9.163379310110768
8,139,2.381294964028777,0.2097366990089581,0.034511521217808365,0.052520135556270324,6.077295106329054,3.75,20,1.3741007194244603,25.633621630657718,8.99250945287529
9,139,2.366906474820144,0.20977539199729137,0.03430299238869774,0.052202793347471105,6.115367126583652,3.75,20,1.3597122302158273,24.718257900583435,8.977233857143068
10,140,2.342857142857143,0.2001370176337005,0.033710174717368965,0.05144979563978469,5.936991407243615,3.6842105263157894,19,1.3357142857142856,25.05644803311472,9.142396139190259
11,145,2.310344827586207,0.1989507649983789,0.032088122605363985,0.049672170611155475,6.200137273382316,3.736842105263158,19,1.3172413793103448,25.41208758233495,9.23949580801924
12,150,2.28,0.18826548743081245,0.030604026845637584,0.04802243506292801,6.151657374384003,3.789473684210526,19,1.2866666666666666,25.517018122286082,9.387645123356481
13,155,2.264516129032258,0.19802772267752716,0.029409300377042313,0.046753686926058566,6.733506752582013,3.6666666666666665,18,1.3096774193548386,26.993507745007648,9.671577271361594
14,158,2.240506329113924,0.20341913542100762,0.028541481899540432,0.045719651686204836,7.127139933973892,3.6666666666666665,18,1.2974683544303798,26.99868213746308,9.566135020949273
15,159,2.157232704402516,0.1937973731639957,0.02730674309370273,0.043850857342523836,7.09705190761793,3.411764705882353,17,1.270440251572327,27.438451509981213,9.701702500424295
16,157,2.178343949044586,0.18892880005279225,0.02792748652621264,0.04462397212499493,6.764976858030684,3.375,16,1.2738853503184713,27.82852521676441,9.743532766213322
17,160,2.125,0.1929285000879056,0.026729559748427674,0.043030229690663946,7.217795650347527,3.076923076923077,13,1.23125,32.34068645579607,10.427788491232983
18,161,2.1925465838509317,0.20539862202998568,0.027406832298136646,0.044228923831184756,7.494431308062934,3.142857142857143,14,1.2919254658385093,31.764155331716836,9.757372604580608
19,163,2.208588957055215,0.20933379133665841,0.027266530334014997,0.044216583347339695,7.677316797271947,3.2666666666666666,15,1.3251533742331287,33.41419366648818,10.730036711135215
20,166,2.2289156626506026,0.21926302040194892,0.02701715954728003,0.0441264835928869,8.115694768661326,3.5555555555555554,18,1.3493975903614457,30.833223086591563,10.482562579430727
21,166,2.2048192771084336,0.21253966678118527,0.026725082146768893,0.04364944052701785,7.952816220132056,3.5,18,1.3253012048192772,30.830632441567793,10.553545407493845
22,163,2.184049079754601,0.22538204168027018,0.026963568885859275,0.0437252879768137,8.358761506473616,3.5,18,1.3006134969325154,30.09176540063084,10.540593138808545
23,168,2.130952380952381,0.21551731056907836,0.0255203877958369,0.041877372294141645,8.44490735380735,3.5,18,1.2619047619047619,29.644566410859234,10.310472473349535
24,169,2.1183431952662723,0.21126536131600246,0.025218371372217527,0.041477696954609775,8.37743874089936,3.388888888888889,18,1.2485207100591715,28.622288719684363,10.18991627671233
25,171,2.1169590643274856,0.21125125590702246,0.024905400756793945,0.04115104443770582,8.48214642157064,3.263157894736842,19,1.280701754385965,28.555826895878884,9.777819257377615
26,172,2.145348837209302,0.21372263140499853,0.025091799265605876,0.041553116391593675,8.517628773555307,3.45,20,1.2790697674418605,28.704152322221496,10.189129563249672
27,172,2.1744186046511627,0.21848397740139094,0.025431796545627636,0.04211616674920335,8.590976929585175,3.6363636363636362,22,1.2790697674418605,27.06105251230883,9.523694103271135
