First_day,N_nodes,L/N,clustering,clustering_ER,clustering_BA,clustering/clustering_ER,L/N_core,N_core,L/N_core_per,mean_core_dr,mean_core/per_dr
0,95,2.8526315789473684,0.26740554605502775,0.0606942889137738,0.07866660660112364,4.405777723747966,4.3,20,1.6631578947368422,34.38784390666816,8.551935365459956
1,85,2.6941176470588237,0.2523243187616589,0.06414565826330532,0.07912828068585524,3.9336149256730235,3.75,16,1.611764705882353,40.963977320252035,8.413572708962342
2,83,2.5542168674698793,0.24006611455013754,0.06229797237731413,0.0760274811054178,3.853514093462821,3.2857142857142856,14,1.5542168674698795,42.64710326951638,7.756054952345066
3,84,2.3214285714285716,0.21603499909366874,0.05593803786574871,0.06863645319595993,3.8620410607206628,2.9166666666666665,12,1.3571428571428572,44.5692485346708,7.521357732114613
4,84,2.3333333333333335,0.21425259409245906,0.05622489959839357,0.06898843500722125,3.8106354235015933,3.1875,16,1.3333333333333333,38.80366166680038,6.917088185381861
5,86,2.302325581395349,0.20630351169239466,0.05417236662106703,0.06717783083886636,3.8082794708873866,3.1176470588235294,17,1.3372093023255813,36.62028917022297,6.660192541099814
6,86,2.302325581395349,0.20612657574524487,0.05417236662106703,0.06717783083886636,3.805013304792273,3.1176470588235294,17,1.3255813953488371,35.11396048718221,6.289843343560596
7,87,2.206896551724138,0.223281447564778,0.05132317562149158,0.06397541403132292,4.350499454894972,3.125,16,1.2528735632183907,35.51412200094073,6.229776105656116
8,86,2.186046511627907,0.2138050834133048,0.05143638850889193,0.06378501109952966,4.156689254657601,3.0714285714285716,14,1.197674418604651,39.23376218418359,6.676102149060185
9,89,2.1123595505617976,0.1951582448542131,0.04800817160367722,0.060453859397667245,4.065104717282439,3.0714285714285716,14,1.146067415730337,38.4319063550027,6.778773451191998
10,88,2.1363636363636362,0.21452415454420803,0.04911180773249739,0.06153262883119431,4.368076934017172,2.8181818181818183,11,1.1363636363636365,44.09145473433509,7.317195843143786
11,89,2.1235955056179776,0.20801503189474108,0.0482635342185904,0.06077542247956973,4.309983412168286,2.8181818181818183,11,1.1348314606741574,44.27758125544081,7.613736042821139
12,91,2.098901098901099,0.21045406060086425,0.04664224664224664,0.05931685006286457,4.512090985133712,2.909090909090909,11,1.1318681318681318,44.311539448605835,7.78038607686073
13,92,2.130434782608696,0.2148148911220994,0.046822742474916385,0.059835285764514336,4.587832317536266,2.909090909090909,11,1.141304347826087,43.50307423079747,7.555499648081008
14,92,2.119565217391304,0.21282450021075675,0.046583850931677016,0.05953000369428722,4.568632604524245,2.727272727272727,11,1.1956521739130435,42.465848615468765,7.339396289714515
15,89,2.067415730337079,0.21627378546709264,0.04698672114402452,0.059167607070057304,4.602870347223559,2.6,10,1.1797752808988764,46.32343772643073,7.435389510311357
16,87,2.057471264367816,0.21382063732976508,0.04784816893878642,0.059643745372952105,4.468731867322074,2.8461538461538463,13,1.206896551724138,38.27156855790222,6.569421756797832
17,86,2.0,0.23488800323363646,0.047058823529411764,0.05835649951659098,4.991370068714775,2.8461538461538463,13,1.1627906976744187,37.01685860447289,6.314021607412719
18,85,2.011764705882353,0.21679018427898414,0.04789915966386555,0.05908705675668668,4.525970513894581,2.8461538461538463,13,1.1764705882352942,35.423283218364745,6.116293126119851
19,86,2.011627906976744,0.21448552799189993,0.047332421340629274,0.058695781490524644,4.531471704106325,2.8461538461538463,13,1.1744186046511629,34.54055933766286,6.110754092376441
20,86,2.0232558139534884,0.20727887590152697,0.047606019151846785,0.05903506346445831,4.354047651839546,2.8461538461538463,13,1.1744186046511629,33.56978767779942,6.119340088433814
21,85,2.023529411764706,0.19348315770916388,0.048179271708683476,0.059432595100293036,4.015900424544855,2.75,16,1.2,30.968985533257737,6.395733836356288
22,84,1.9523809523809523,0.21557756214987528,0.04704532415375789,0.0577250170468586,4.582337693015032,2.6666666666666665,12,1.0952380952380953,36.717989319783364,6.656249830008034
23,86,1.8372093023255813,0.2163087491304066,0.04322845417236662,0.05360655188151962,5.003851127035672,2.5454545454545454,11,1.0465116279069768,37.685791149708145,7.0991371388837825
24,86,1.8372093023255813,0.20039678162095184,0.04322845417236662,0.05360655188151962,4.635760992560627,2.25,8,0.9534883720930233,40.11654247929495,6.401670358270111
25,83,1.8433734939759037,0.2108348950629528,0.0449603291213635,0.05486888966570247,4.689353907838094,2.4444444444444446,9,0.9759036144578314,38.06490421838856,6.221622507146759
