First_day,N_nodes,L/N,clustering,clustering_ER,clustering_BA,clustering/clustering_ER,L/N_core,N_core,L/N_core_per,mean_core_dr,mean_core/per_dr
0,212,3.608490566037736,0.2738550584758375,0.03420370204775105,0.06133796173956426,8.006591160615141,6.36,25,2.112676056338028,29.45669291330009,12.278908816819712
1,202,3.3465346534653464,0.25679087474286316,0.03329885227328703,0.058642829233648004,7.7117034736018715,6.045454545454546,22,1.916256157635468,32.303323510998176,12.938932807076366
2,205,3.2780487804878047,0.2514124690294989,0.0321377331420373,0.0569127824005881,7.82296834435539,5.954545454545454,22,1.9029126213592233,32.55436825498821,12.512504109831035
3,206,3.237864077669903,0.24747899748733543,0.031588917830925885,0.05604321099177308,7.834361367234013,5.9523809523809526,21,1.8454106280193237,33.333825454812185,12.891936166448257
4,206,3.237864077669903,0.24338281580220228,0.031588917830925885,0.05604321099177308,7.704689888550975,5.904761904761905,21,1.8502415458937198,32.941844030876965,13.044151558406215
5,207,3.1690821256038646,0.23618339748051534,0.030767787627221987,0.05468568448242914,7.67632045378364,5.619047619047619,21,1.8076923076923077,31.758921306127657,12.787067757583625
6,207,3.1642512077294684,0.23442572321423377,0.030720885511936587,0.054602322158522995,7.630825717023937,5.571428571428571,21,1.8028846153846154,30.70489580569946,12.660786312450314
7,206,3.150485436893204,0.2336737741178811,0.030736443286762966,0.05453080050024097,7.602498829736609,5.428571428571429,21,1.8067632850241546,29.605433397519782,12.553439603589739
8,198,3.095959595959596,0.217760380466281,0.03143106188791468,0.05493711191612053,6.928190375585445,5.416666666666667,24,1.7688442211055277,25.773517924725,11.082645391243107
9,196,3.0918367346938775,0.22161831507121366,0.031711145996860285,0.05521404886095745,6.9886567673447075,5.375,24,1.766497461928934,25.94011945111593,11.087445967382209
10,196,3.1020408163265305,0.22406514708121597,0.03181580324437467,0.055396273444656974,7.042573948555983,5.461538461538462,26,1.7868020304568528,25.64298247205496,11.892460734824123
11,193,3.088082901554404,0.22326766147630003,0.032167530224525044,0.05568180990440098,6.940777234618937,5.461538461538462,26,1.7731958762886597,26.26708157066357,12.185178925415208
12,186,3.1344086021505375,0.23459411470865965,0.03388549840162743,0.057834981464805785,6.923141927208387,5.384615384615385,26,1.8074866310160427,26.09130597847786,12.018447215356318
13,185,3.1027027027027025,0.22541552773903326,0.03372502937720329,0.05744239855980596,6.683923836443111,5.24,25,1.8010752688172043,25.6414670863668,11.73804499818607
14,185,3.0648648648648646,0.2216513139787443,0.03331374853113984,0.05674188150419857,6.653448613612395,5.130434782608695,23,1.7741935483870968,25.648100823903565,11.567906813902441
15,184,3.0543478260869565,0.22532079712143127,0.033380850558327395,0.05673817223979015,6.750001673196471,5.166666666666667,24,1.7675675675675675,24.431694706978586,11.475628248625778
16,180,3.022222222222222,0.221733950952337,0.03376784605834885,0.05691317374779996,6.566422701915715,4.714285714285714,21,1.8011049723756907,25.75997721224272,11.42083530505037
17,180,2.938888888888889,0.20615376869710347,0.03283674736188703,0.05534387667754812,6.278142180926913,4.636363636363637,22,1.7403314917127073,24.21786700606383,11.509132252327259
18,180,2.911111111111111,0.2028857224400558,0.032526381129733085,0.05482077765413085,6.237574405552097,5.074074074074074,27,1.6611111111111112,22.064437138784573,11.527154935151065
19,179,2.8491620111731844,0.20133368419275033,0.03201305630531668,0.05383990123150403,6.289111613479815,5.115384615384615,26,1.5865921787709498,22.090280512731788,11.506561158801517
20,174,2.8563218390804597,0.20707101386658766,0.03302106172347352,0.05493022986610398,6.270876920937648,5.115384615384615,26,1.5804597701149425,21.551195486951354,11.325429166553004
21,169,2.8698224852071004,0.21662003313627823,0.03416455339532263,0.056191852019513246,6.340490701861042,5.076923076923077,26,1.5857988165680474,21.069484206416522,11.22115988836905
22,161,2.900621118012422,0.20880728570189128,0.03625776397515528,0.05851248563502346,5.758967537131391,5.04,25,1.5900621118012421,21.3972589170458,11.154497127740465
23,162,2.814814814814815,0.20564796115188463,0.034966643662295835,0.05656649332127095,5.881261099521333,4.826086956521739,23,1.5740740740740742,22.993959832519394,11.70124453120296
24,158,2.8544303797468356,0.2015883516220392,0.036362170442634845,0.0582473528544587,5.543903160018076,4.962962962962963,27,1.5696202531645569,20.18251322654132,10.91982077137933
25,157,2.917197452229299,0.20920976866255037,0.03739996733627307,0.059759588401309,5.59384896733972,5.16,25,1.585987261146497,21.756431944967204,11.32670783894609
26,156,2.8974358974358974,0.21011809924830133,0.03738626964433416,0.059586810657916225,5.620194291840626,5.166666666666667,24,1.5833333333333333,21.785669422056184,11.695788032408636
27,154,2.8636363636363638,0.20744906211421035,0.0374331550802139,0.05935703229703544,5.54185351647962,4.961538461538462,26,1.5974025974025974,19.686341963335643,10.97107789603648
28,152,2.848684210526316,0.2088330213968347,0.03773091669571279,0.05951904837373016,5.534798507044054,4.961538461538462,26,1.5789473684210527,18.93766236327947,10.779762818177645
29,152,2.848684210526316,0.20861613302205162,0.03773091669571279,0.05951904837373016,5.529050213766893,4.961538461538462,26,1.5723684210526316,18.438391030401785,10.530970487821525
30,153,2.8300653594771243,0.2113731353670498,0.037237702098383216,0.05889446465356069,5.676320595953937,5.0,26,1.5620915032679739,18.853835360436292,10.757107549989582
31,154,2.844155844155844,0.21503354095219118,0.03717850776674306,0.05895324296168146,5.783813118625033,5.0,26,1.5844155844155845,18.655443341049534,10.60241638205317
32,151,2.8675496688741724,0.20579096981768538,0.03823399558498896,0.06015425487899478,5.382408159781264,5.0,27,1.5827814569536425,18.503508116740665,10.892351242726978
33,151,2.794701986754967,0.20240020764064506,0.03726269315673289,0.05862608674119121,5.4317117334841365,4.896551724137931,29,1.5629139072847682,17.984867389702053,10.322739744207942
34,143,2.8531468531468533,0.2020468665959982,0.04018516694573033,0.06185960642317932,5.027896658208749,4.882352941176471,34,1.5524475524475525,15.990732235286611,8.903218854402743
35,141,2.7943262411347516,0.18571040064689523,0.03991894630192502,0.06110149717787868,4.652186940063086,4.636363636363637,33,1.5673758865248226,15.76311104339197,8.661846051338278
36,138,2.818840579710145,0.19362923733735216,0.041150957368031316,0.0624409938214142,4.705339795758329,4.956521739130435,23,1.565217391304348,19.72106297302215,9.09246336428207
37,136,2.8088235294117645,0.18953382341051436,0.04161220043572985,0.06276726583649435,4.55476570394901,4.633333333333334,30,1.5955882352941178,16.14309855042414,8.60171584835597
38,137,2.81021897810219,0.1956218730054297,0.04132674967797338,0.06252275480052694,4.733541217970345,4.666666666666667,30,1.5985401459854014,15.975059565943884,8.450602298364444
39,138,2.8115942028985508,0.1974881396938809,0.04104517084523432,0.06228047712778589,4.811482949809938,4.666666666666667,30,1.5942028985507246,15.898903945605126,8.667248666930178
40,135,2.8,0.20056793214766117,0.041791044776119404,0.06284777782234675,4.799304090676178,4.785714285714286,28,1.5629629629629629,16.23133181679874,8.976123238525043
41,139,2.7050359712230216,0.1956890748330577,0.039203419872797414,0.05966033525425269,4.991632757244299,4.689655172413793,29,1.5323741007194245,16.04140634616009,8.484675866057946
42,143,2.6713286713286712,0.18943015826893875,0.037624347483502414,0.057917572680525733,5.034775908127055,4.655172413793103,29,1.5244755244755244,15.72828600503817,8.464209584784061
43,144,2.6527777777777777,0.20319818393132982,0.037101787101787104,0.05727366754607028,5.476776182609874,4.769230769230769,26,1.5138888888888888,16.890192855426534,9.119487895658471
44,143,2.6013986013986012,0.19332189860600063,0.03663941692110706,0.056401405856428194,5.276336657383668,4.615384615384615,26,1.5034965034965035,16.751842506019603,8.824909056719774
45,145,2.537931034482759,0.19159879198725527,0.03524904214559387,0.054565250104194676,5.435574424855829,4.5,26,1.4827586206896552,16.276085119933995,8.583322157411851
46,146,2.506849315068493,0.20396563279600313,0.034577231931979216,0.053673232140625145,5.898842139742331,4.5,26,1.452054794520548,16.52792254463452,8.547931227941822
