QId,PostUserId,Vote,Time,days
72.0,73.0,3,2011-08-11,2
60.0,32.0,3,2011-08-11,2
50.0,32.0,3,2011-08-11,2
1.0,10.0,2,2011-08-11,2
5.0,30.0,2,2011-08-11,2
159.0,111.0,2,2011-08-11,2
61.0,72.0,2,2011-08-11,2
171.0,26.0,2,2011-08-11,2
159.0,111.0,2,2011-08-11,2
138.0,106.0,2,2011-08-11,2
176.0,32.0,2,2011-08-11,2
149.0,32.0,2,2011-08-11,2
175.0,32.0,2,2011-08-11,2
175.0,32.0,2,2011-08-11,2
173.0,96.0,2,2011-08-11,2
164.0,32.0,2,2011-08-11,2
175.0,32.0,2,2011-08-11,2
182.0,81.0,2,2011-08-11,2
175.0,32.0,2,2011-08-11,2
175.0,32.0,2,2011-08-11,2
61.0,72.0,2,2011-08-11,2
173.0,96.0,3,2011-08-11,2
112.0,77.0,2,2011-08-11,2
173.0,96.0,2,2011-08-11,2
192.0,30.0,2,2011-08-11,2
17.0,7.0,2,2011-08-11,2
192.0,30.0,3,2011-08-11,2
193.0,64.0,2,2011-08-11,2
193.0,64.0,2,2011-08-11,2
11.0,27.0,2,2011-08-11,2
193.0,64.0,2,2011-08-11,2
171.0,26.0,2,2011-08-11,2
193.0,64.0,2,2011-08-11,2
182.0,81.0,2,2011-08-11,2
176.0,32.0,3,2011-08-11,2
192.0,30.0,3,2011-08-11,2
193.0,64.0,2,2011-08-11,2
171.0,26.0,2,2011-08-11,2
159.0,111.0,2,2011-08-11,2
57.0,32.0,2,2011-08-11,2
125.0,38.0,2,2011-08-11,2
192.0,30.0,2,2011-08-11,2
175.0,32.0,2,2011-08-11,2
196.0,40.0,2,2011-08-11,2
5.0,30.0,3,2011-08-11,2
9.0,22.0,3,2011-08-11,2
77.0,77.0,2,2011-08-11,2
198.0,10.0,2,2011-08-11,2
196.0,40.0,2,2011-08-11,2
200.0,38.0,2,2011-08-11,2
192.0,30.0,2,2011-08-11,2
193.0,64.0,3,2011-08-11,2
198.0,10.0,2,2011-08-11,2
193.0,64.0,2,2011-08-11,2
198.0,10.0,2,2011-08-11,2
202.0,72.0,2,2011-08-11,2
202.0,72.0,2,2011-08-11,2
142.0,30.0,2,2011-08-11,2
202.0,72.0,2,2011-08-11,2
142.0,30.0,2,2011-08-11,2
193.0,64.0,2,2011-08-11,2
193.0,64.0,2,2011-08-11,2
214.0,64.0,2,2011-08-11,2
200.0,38.0,2,2011-08-11,2
173.0,96.0,3,2011-08-11,2
176.0,32.0,2,2011-08-11,2
196.0,40.0,2,2011-08-12,3
193.0,64.0,2,2011-08-12,3
175.0,32.0,2,2011-08-12,3
198.0,10.0,2,2011-08-12,3
91.0,95.0,2,2011-08-12,3
2.0,9.0,2,2011-08-12,3
193.0,64.0,2,2011-08-12,3
3.0,12.0,2,2011-08-12,3
202.0,72.0,2,2011-08-12,3
61.0,72.0,2,2011-08-12,3
