QId,PostUserId,RespondUserId,Time,days
164,160.0,43.0,2014-08-01T21:18:19.473,2
165,160.0,162.0,2014-08-01T17:03:53.930,1
166,160.0,43.0,2014-08-01T18:16:21.453,1
166,160.0,423.0,2015-01-13T00:30:34.900,166
169,161.0,44.0,2014-08-01T19:08:07.820,1
180,52.0,43.0,2014-08-01T22:13:34.860,2
182,52.0,43.0,2014-08-01T23:54:01.463,2
184,43.0,59.0,2014-08-02T03:22:49.913,2
189,172.0,9.0,2014-08-02T16:17:06.523,2
189,172.0,44.0,2014-08-03T21:16:04.297,4
191,9.0,43.0,2014-08-03T17:52:38.527,3
195,186.0,59.0,2014-08-03T09:39:07.387,3
200,88.0,146.0,2014-08-03T18:44:31.810,3
205,198.0,44.0,2014-08-03T22:37:31.810,4
205,198.0,131.0,2014-08-04T12:20:36.957,4
206,198.0,249.0,2014-08-08T04:35:37.327,8
209,60.0,44.0,2014-08-03T23:44:10.350,4
209,60.0,131.0,2014-08-04T14:40:24.393,4
210,60.0,44.0,2014-08-03T23:53:24.383,4
213,80.0,59.0,2014-08-04T01:17:32.593,4
213,80.0,211.0,2014-08-04T18:38:03.793,4
213,80.0,296.0,2014-08-13T04:31:19.890,13
215,44.0,201.0,2014-08-04T10:05:04.450,4
215,44.0,210.0,2014-08-04T17:37:48.137,4
216,200.0,43.0,2014-08-04T09:16:41.600,4
222,202.0,200.0,2014-08-04T13:51:12.523,4
227,44.0,1000.0,2014-10-06T01:24:28.500,67
233,217.0,43.0,2014-08-04T21:54:40.580,5
233,217.0,249.0,2014-08-08T04:50:34.170,8
236,217.0,88.0,2014-08-04T22:25:43.637,5
236,217.0,146.0,2014-08-05T12:48:22.373,5
237,217.0,43.0,2014-08-04T22:22:04.860,5
241,160.0,9.0,2014-08-05T23:57:04.373,6
242,80.0,59.0,2014-08-05T04:24:50.890,5
244,116.0,131.0,2014-08-05T10:29:39.550,5
246,60.0,146.0,2014-08-05T16:38:45.257,5
253,224.0,132.0,2014-08-06T16:18:28.987,6
253,224.0,68.0,2014-08-19T04:57:21.920,19
257,44.0,248.0,2014-08-07T23:19:49.010,8
260,144.0,43.0,2014-08-07T00:48:00.077,7
260,144.0,239.0,2014-08-07T08:19:51.263,7
260,144.0,233.0,2014-08-07T09:06:38.703,7
260,144.0,23.0,2014-08-08T03:10:26.953,8
260,144.0,92.0,2014-08-08T04:45:27.847,8
260,144.0,252.0,2014-08-08T13:26:47.640,8
260,144.0,242.0,2014-08-08T14:29:52.210,8
260,144.0,59.0,2014-08-10T08:49:07.643,10
260,144.0,267.0,2014-08-10T16:10:01.493,10
260,144.0,344.0,2014-08-19T00:26:29.853,19
260,144.0,437.0,2014-08-21T06:17:22.157,21
266,115.0,44.0,2014-08-07T15:00:55.827,7
266,115.0,131.0,2014-08-07T20:59:28.607,8
266,115.0,858.0,2014-09-24T13:20:18.227,55
267,242.0,115.0,2014-08-07T12:25:21.887,7
267,242.0,131.0,2014-08-07T16:21:08.893,7
267,242.0,425.0,2014-08-20T17:01:26.817,20
283,23.0,43.0,2014-08-09T07:23:21.970,9
285,200.0,44.0,2014-08-12T23:14:27.300,13
286,91.0,43.0,2014-08-10T04:22:10.443,10
286,91.0,233.0,2014-08-10T08:38:24.293,10
286,91.0,354.0,2014-08-24T20:21:23.500,25
290,266.0,131.0,2014-08-10T11:41:11.200,10
290,266.0,233.0,2014-08-10T14:47:31.603,10
291,59.0,43.0,2014-08-10T22:03:47.750,11
291,59.0,233.0,2014-08-11T09:25:20.580,11
291,59.0,119.0,2014-08-18T15:09:51.693,18
291,59.0,362.0,2014-08-19T03:39:28.130,19
292,59.0,131.0,2014-08-10T11:28:17.810,10
292,59.0,296.0,2014-08-13T04:27:00.357,13
292,59.0,144.0,2014-08-19T18:51:53.187,19
292,59.0,88.0,2014-08-20T22:49:31.597,21
292,59.0,580.0,2014-08-29T04:21:53.613,29
301,200.0,59.0,2014-08-11T09:27:39.413,11
301,200.0,131.0,2014-08-11T09:31:16.307,11
301,200.0,233.0,2014-08-11T09:45:34.803,11
301,200.0,296.0,2014-08-13T04:25:55.453,13
301,200.0,239.0,2014-08-13T12:01:55.420,13
306,233.0,416.0,2014-09-03T08:11:09.323,34
307,285.0,43.0,2014-08-11T23:28:02.490,12
307,285.0,59.0,2014-08-12T02:47:54.920,12
307,285.0,160.0,2014-08-12T14:27:51.460,12
307,285.0,580.0,2014-08-29T04:26:43.703,29
310,286.0,233.0,2014-08-18T06:48:46.207,18
311,9.0,423.0,2014-08-20T15:25:07.660,20
311,9.0,462.0,2014-08-22T18:22:20.420,22
314,43.0,59.0,2014-08-13T02:13:00.227,13
314,43.0,353.0,2014-08-19T11:02:54.223,19
329,285.0,100.0,2014-08-13T03:08:41.120,13
329,285.0,239.0,2014-08-13T11:26:20.993,13
329,285.0,119.0,2014-08-18T10:32:32.437,18
338,9.0,59.0,2014-08-13T17:26:26.140,13
338,9.0,617.0,2014-08-30T21:34:57.630,31
338,9.0,3229.0,2015-01-22T20:17:22.850,176
342,75.0,59.0,2014-08-13T19:12:56.917,13
344,144.0,59.0,2014-08-14T06:51:06.587,14
344,144.0,353.0,2014-08-18T22:54:29.720,19
350,319.0,321.0,2014-08-15T11:25:55.467,15
350,319.0,353.0,2014-08-18T22:49:01.833,19
350,319.0,131.0,2014-09-04T21:21:16.223,36
352,285.0,43.0,2014-08-15T15:59:43.967,15
352,285.0,344.0,2014-08-18T21:13:00.263,19
354,43.0,160.0,2014-08-15T16:38:49.010,15
354,43.0,59.0,2014-08-15T19:04:35.290,15
354,43.0,302.0,2014-08-16T11:39:37.450,16
354,43.0,233.0,2014-08-18T06:23:36.567,18
354,43.0,344.0,2014-08-18T20:54:53.607,19
358,119.0,354.0,2014-08-18T22:01:55.207,19
358,119.0,423.0,2014-08-20T14:47:51.463,20
370,344.0,353.0,2014-08-18T22:01:14.413,19
370,344.0,68.0,2014-08-19T05:29:26.710,19
370,344.0,302.0,2014-08-19T12:14:20.900,19
370,344.0,160.0,2014-08-19T13:31:26.063,19
378,91.0,354.0,2014-08-19T03:07:01.650,19
378,91.0,353.0,2014-08-19T15:37:09.897,19
378,91.0,44.0,2014-08-20T08:07:16.177,20
379,91.0,388.0,2014-08-19T10:11:00.870,19
379,91.0,302.0,2014-08-19T12:05:29.507,19
383,68.0,43.0,2014-08-19T06:58:14.570,19
386,382.0,353.0,2014-08-19T10:48:48.163,19
386,382.0,450.0,2014-08-21T16:15:48.877,21
386,382.0,354.0,2014-08-21T16:41:52.103,21
392,46.0,353.0,2014-08-19T15:33:46.850,19
392,46.0,354.0,2014-08-19T16:42:09.817,19
392,46.0,344.0,2014-08-19T19:35:20.290,19
394,119.0,353.0,2014-08-19T15:28:43.373,19
394,119.0,233.0,2014-08-20T10:59:03.867,20
394,119.0,344.0,2014-08-20T13:11:43.943,20
395,46.0,119.0,2014-08-19T15:09:36.787,19
395,46.0,353.0,2014-08-19T15:19:56.017,19
406,91.0,302.0,2014-08-19T22:58:34.897,20
406,91.0,423.0,2014-08-20T15:17:17.810,20
406,91.0,425.0,2014-08-20T15:53:47.663,20
406,91.0,210.0,2014-08-20T16:57:00.903,20
409,412.0,378.0,2014-08-20T08:23:57.777,20
409,412.0,423.0,2014-08-20T14:57:48.127,20
409,412.0,354.0,2014-08-20T17:14:31.587,20
409,412.0,580.0,2014-08-29T04:17:35.903,29
409,412.0,1446.0,2014-11-12T19:13:55.767,104
409,412.0,1268.0,2014-11-12T19:39:23.550,104
410,68.0,43.0,2014-08-20T05:54:02.067,20
410,68.0,44.0,2014-08-20T07:49:37.763,20
410,68.0,425.0,2014-08-20T15:31:44.573,20
410,68.0,437.0,2014-08-21T05:56:17.990,21
411,68.0,43.0,2014-08-20T06:15:08.630,20
413,415.0,423.0,2014-08-20T14:32:17.383,20
413,415.0,437.0,2014-08-21T06:04:13.430,21
428,344.0,59.0,2014-08-20T18:57:40.647,20
428,344.0,91.0,2014-08-21T05:00:24.623,21
428,344.0,425.0,2014-08-22T05:30:42.620,22
437,416.0,423.0,2014-08-21T13:40:56.770,21
437,416.0,479.0,2014-08-23T10:13:46.507,23
437,416.0,344.0,2014-08-23T20:21:29.323,24
438,442.0,54.0,2014-08-21T19:52:52.273,22
439,119.0,321.0,2014-08-21T13:07:54.040,21
439,119.0,344.0,2014-08-21T19:39:27.477,21
448,453.0,425.0,2014-08-22T04:47:30.243,22
448,453.0,423.0,2014-08-22T11:20:51.907,22
448,453.0,91.0,2014-08-23T19:59:52.507,24
448,453.0,1248.0,2014-10-28T18:03:34.343,89
454,456.0,423.0,2014-08-22T11:05:48.070,22
454,456.0,437.0,2014-08-22T14:11:45.903,22
454,456.0,464.0,2014-08-22T18:03:54.627,22
454,456.0,321.0,2014-08-22T19:51:38.820,23
457,140.0,353.0,2014-08-22T13:22:41.813,22
457,140.0,437.0,2014-08-22T14:18:14.120,22
457,140.0,423.0,2014-08-22T14:45:28.897,22
457,140.0,344.0,2014-08-22T16:16:24.153,22
457,140.0,43.0,2014-08-22T16:41:34.730,22
457,140.0,210.0,2014-08-25T16:25:27.680,25
464,462.0,321.0,2014-08-22T18:38:59.300,22
464,462.0,44.0,2014-08-24T15:09:36.337,24
469,469.0,91.0,2014-08-23T03:35:05.610,23
469,469.0,353.0,2014-08-23T13:21:17.970,23
473,442.0,43.0,2014-08-26T07:29:22.523,26
473,442.0,131.0,2014-08-27T13:46:08.450,27
476,260.0,437.0,2014-08-24T10:31:05.180,24
476,260.0,44.0,2014-08-24T16:21:52.330,24
481,497.0,43.0,2014-08-24T22:41:45.260,25
481,497.0,44.0,2014-08-25T00:21:19.630,25
481,497.0,248.0,2014-08-25T15:36:21.137,25
481,497.0,521.0,2014-08-25T20:25:39.253,26
484,91.0,43.0,2014-08-25T07:29:01.077,25
484,91.0,233.0,2014-08-25T07:33:06.677,25
490,525.0,9.0,2014-08-27T11:28:21.737,27
494,529.0,31.0,2014-08-26T12:00:52.230,26
494,529.0,302.0,2014-08-26T14:35:12.603,26
495,528.0,378.0,2014-08-26T09:20:44.787,26
495,528.0,31.0,2014-08-26T12:09:18.840,26
495,528.0,91.0,2014-08-26T13:15:59.873,26
502,542.0,44.0,2014-08-27T03:43:35.090,27
504,543.0,416.0,2014-09-03T07:00:22.290,34
505,544.0,532.0,2014-08-27T06:30:49.667,27
507,532.0,437.0,2014-08-27T08:37:30.987,27
507,532.0,302.0,2014-08-28T14:20:23.710,28
507,532.0,425.0,2014-08-29T12:22:52.443,29
507,532.0,616.0,2014-08-30T21:13:26.160,31
511,227.0,321.0,2014-08-27T15:20:33.617,27
511,227.0,44.0,2014-08-27T15:42:47.577,27
511,227.0,43.0,2014-08-28T00:42:24.337,28
517,71.0,31.0,2014-08-28T08:15:01.597,28
517,71.0,302.0,2014-08-28T09:51:28.307,28
517,71.0,78.0,2014-08-28T18:00:45.557,28
517,71.0,551.0,2014-08-29T02:11:16.790,29
520,44.0,437.0,2014-08-28T15:04:14.300,28
520,44.0,302.0,2014-08-28T16:48:10.180,28
520,44.0,344.0,2014-08-28T17:20:34.300,28
