QId,RespondUserId,PostUserId,Time,days
6561,1880.0,1782.0,2011-03-09 15:47:17.053,126
6562,661.0,61.0,2011-03-09 21:26:57.547,127
6583,1272.0,1460.0,2011-03-10 15:57:29.103,127
6584,749.0,142.0,2011-03-10 03:32:10.417,127
6588,2456.0,520.0,2011-03-10 04:07:21.797,127
6613,2082.0,1241.0,2011-03-10 15:23:28.890,127
6616,,1241.0,2011-03-10 15:27:48.917,127
6618,2468.0,1655.0,2011-03-10 18:28:32.410,127
6624,386.0,1236.0,2011-03-10 16:28:07.930,127
6630,2247.0,1236.0,2011-03-10 16:38:22.477,127
6649,29.0,2359.0,2011-03-10 22:29:10.177,128
6650,824.0,1241.0,2011-03-10 21:02:46.110,128
6654,582.0,2410.0,2011-03-11 09:52:20.403,128
6658,786.0,1460.0,2011-03-11 12:29:28.817,128
6662,2072.0,1272.0,2011-03-11 04:47:28.790,128
6675,1996.0,1241.0,2011-03-11 15:07:51.030,128
6682,667.0,29.0,2011-03-11 17:08:29.823,128
6686,847.0,2359.0,2011-03-11 15:33:08.033,128
6687,592.0,1241.0,2011-03-11 15:26:46.053,128
6698,4.0,,2011-03-11 16:29:43.970,128
6705,955.0,,2011-03-11 17:18:32.413,128
6709,2219.0,2585.0,2011-03-16 16:53:47.570,133
6720,1272.0,1352.0,2011-03-12 01:54:32.910,129
6721,2488.0,1236.0,2011-03-11 22:00:34.343,129
6731,2491.0,1655.0,2011-03-12 03:20:19.437,129
6748,2506.0,1370.0,2011-03-12 16:16:22.920,129
6750,1228.0,2238.0,2011-03-12 16:35:37.847,129
6754,1924.0,2415.0,2011-03-12 17:59:10.517,129
6768,435.0,2517.0,2011-03-13 01:05:00.843,130
6771,2491.0,369.0,2011-03-13 00:13:31.280,130
6777,2305.0,353.0,2011-03-13 02:21:20.140,130
6782,353.0,1236.0,2011-03-13 07:02:14.193,130
6783,2072.0,353.0,2011-03-13 03:31:24.847,130
6784,1349.0,1236.0,2011-03-13 06:13:16.393,130
6786,1349.0,1236.0,2011-03-13 07:22:26.400,130
6789,417.0,1272.0,2011-03-13 06:36:17.860,130
6816,1272.0,1236.0,2011-03-13 17:24:06.263,130
6817,1272.0,124.0,2011-03-13 22:10:09.360,131
6824,605.0,1236.0,2011-03-13 17:41:51.687,130
6827,667.0,869.0,2011-03-13 21:05:47.427,131
6835,667.0,1492.0,2011-03-13 17:47:36.583,130
6839,592.0,,2011-03-13 18:16:01.470,130
6863,2541.0,930.0,2011-03-14 03:26:53.470,131
6867,1272.0,1236.0,2011-03-14 06:03:13.213,131
6890,,2359.0,2011-03-14 16:11:42.227,131
6893,2548.0,377.0,2011-03-14 17:18:43.120,131
6898,1708.0,1241.0,2011-03-14 19:33:26.203,132
6904,2536.0,1287.0,2011-03-15 11:06:51.470,132
6906,2551.0,520.0,2011-03-14 23:10:22.523,132
6907,1272.0,1492.0,2011-03-15 12:54:52.617,132
6908,2552.0,1370.0,2011-03-14 22:06:38.757,132
6912,1671.0,2359.0,2011-03-14 22:42:07.553,132
6931,1924.0,353.0,2011-03-15 04:20:52.200,132
6934,2328.0,1370.0,2011-03-15 11:37:32.760,132
6946,1496.0,1241.0,2011-03-15 17:41:05.147,132
6951,1715.0,1370.0,2011-03-15 15:26:48.527,132
6956,1187.0,1370.0,2011-03-15 14:51:15.153,132
6959,1460.0,1236.0,2011-03-15 18:09:00.783,132
6969,526.0,2535.0,2011-03-15 18:34:13.727,132
6996,293.0,965.0,2011-03-16 05:07:34.230,133
6997,,74.0,2011-03-16 04:44:56.327,133
7003,605.0,1573.0,2011-03-16 06:23:11.367,133
7004,1272.0,520.0,2011-03-16 04:40:39.133,133
7038,2237.0,,2011-03-16 17:30:27.020,133
7041,1370.0,1236.0,2011-03-16 20:50:17.180,134
7043,977.0,1241.0,2011-03-16 18:10:49.420,133
7053,2578.0,1228.0,2011-03-16 21:36:28.790,134
7060,2578.0,1236.0,2011-03-17 07:31:49.177,134
7068,1272.0,2525.0,2011-03-17 05:02:19.770,134
7069,2072.0,1236.0,2011-03-17 07:45:22.387,134
7070,2597.0,124.0,2011-03-17 05:00:05.830,134
7073,2599.0,1039.0,2011-03-17 05:46:47.927,134
7077,2600.0,930.0,2011-03-17 09:41:03.407,134
7086,2560.0,2560.0,2011-03-22 07:53:31.843,139
7089,2415.0,1460.0,2011-03-24 12:13:09.790,141
7095,1637.0,429.0,2011-03-18 05:56:58.613,135
7101,1924.0,930.0,2011-03-17 15:54:44.283,134
7110,2415.0,1370.0,2011-03-17 18:02:47.440,134
7118,2609.0,1673.0,2011-03-17 20:08:54.443,135
7127,2613.0,1241.0,2011-03-17 23:57:24.543,135
7129,61.0,61.0,2011-04-28 05:20:55.087,176
7132,2597.0,1272.0,2011-03-18 04:45:44.700,135
7135,2618.0,329.0,2011-03-18 11:05:35.613,135
7140,1492.0,2525.0,2011-03-18 18:33:33.137,135
7143,2619.0,1236.0,2011-03-18 06:24:57.010,135
7149,2415.0,373.0,2011-03-18 11:52:02.733,135
7154,922.0,1492.0,2011-03-18 12:55:51.097,135
7158,922.0,329.0,2011-03-18 12:31:45.710,135
7166,1618.0,1390.0,2011-03-18 14:57:57.443,135
7172,2628.0,347.0,2011-03-18 16:08:06.143,135
7184,2599.0,329.0,2011-03-18 18:51:01.240,135
7189,2618.0,329.0,2011-03-18 21:47:49.067,136
7202,1496.0,2643.0,2011-03-19 05:51:18.810,136
7212,2499.0,78.0,2011-03-19 17:19:30.097,136
7218,2652.0,2359.0,2011-03-19 15:20:01.150,136
7231,329.0,2451.0,2011-03-20 18:46:23.753,137
7232,2655.0,2238.0,2011-03-19 16:16:22.677,136
7239,2655.0,1236.0,2011-03-19 17:18:58.597,136
7244,2656.0,,2011-03-19 21:46:21.483,137
7245,1172.0,1236.0,2011-03-19 18:09:57.470,136
7250,2659.0,1241.0,2011-03-19 21:14:32.397,137
7251,2652.0,2359.0,2011-03-19 21:05:14.530,137
7279,2652.0,1039.0,2011-03-20 14:17:39.213,137
7285,2655.0,329.0,2011-03-20 11:29:30.500,137
7290,184.0,,2011-03-20 17:21:41.120,137
7292,2499.0,1588.0,2011-03-20 19:47:01.847,138
7303,1496.0,2525.0,2011-03-20 22:14:14.043,138
7311,2618.0,142.0,2011-03-20 19:56:08.540,138
7315,58.0,1370.0,2011-03-21 15:35:44.143,138
7321,2578.0,1370.0,2011-03-21 10:46:56.763,138
7322,2578.0,1492.0,2011-03-21 05:19:40.723,138
7324,41.0,,2011-03-21 03:01:03.173,138
