Day,Number of active users,Mean user reputation,Gini coefficient,Gini coeficient active users
0,53,15.061845493218295,0.9805835165425406,0.0012233458613803826
1,62,17.754630869372537,0.9781580168565471,0.0017210092019630933
2,69,20.104494853547436,0.9770156906231054,0.002210846486974188
3,72,20.02403101378279,0.9764513644942614,0.0024344602808913473
4,72,20.83929075011436,0.9769298136633531,0.002464363353959543
5,75,23.559850196978946,0.9770688354904957,0.0027456381612735847
6,79,24.155528227425084,0.976258224593649,0.003074595889861534
7,108,21.30752309218937,0.9703786496774994,0.006012060907265562
8,127,19.83508273278312,0.9665964132937388,0.008471017833212045
9,141,19.968730387181107,0.9629414646502915,0.01044492970112068
10,150,19.978408815696877,0.96120488068002,0.011902762241322081
11,161,19.702354192384433,0.9582978706934445,0.013703841351736103
12,170,20.529471532259553,0.9565171360475844,0.015359998857330656
13,186,20.52794120186363,0.9536865797671396,0.018591105761013832
14,194,20.889683034375654,0.9522058248808604,0.02031082371161083
15,202,22.025211670460745,0.9513544925771812,0.022216793740867644
16,206,21.93147841942785,0.9510265149384601,0.023218982320206916
17,207,22.171265973511947,0.9500915301399192,0.02339131670618943
18,207,21.948328090945125,0.9500542867089291,0.023419808687752258
19,212,21.263288894177965,0.9488456386869053,0.02456075604426343
20,215,21.289296851889404,0.9478280407251364,0.025226722839688093
21,217,21.340704912968828,0.9469943917679975,0.02562557299179272
22,220,20.80923484897098,0.9459867128914818,0.02631091157100994
23,224,20.339244684985683,0.9451605477529451,0.02731582391277504
24,220,20.497409677231722,0.9447671573481564,0.026198700287833675
25,217,21.125784263970342,0.9442226118167134,0.025328966155915955
26,218,21.846511521072536,0.9444142998119955,0.0256517213709974
27,221,21.426126119652025,0.9444340583042953,0.026501267288001704
28,227,21.42326455689371,0.9439716241909901,0.028162824872170786
29,229,21.726770710508465,0.9436463211189888,0.028716405261197966
30,227,22.41457654128833,0.9437739602237956,0.028209236047268344
31,229,22.453059575277006,0.9438244029144869,0.028839764391716347
32,231,22.427683731914403,0.9441137259689871,0.029525132406619886
33,230,22.814964074778885,0.9443695284436389,0.029260995451817266
34,231,23.028454145471418,0.9451743785576109,0.029714815481564114
35,228,22.95881029393906,0.9454948971771711,0.028918683159901145
36,230,23.0636590519694,0.9463449782191183,0.0296660513651908
37,231,23.06529324092444,0.9461447540534241,0.02993077535222091
38,232,23.03307122599427,0.9471156692902069,0.03044247759582523
39,234,23.23801607056431,0.9475524248004141,0.031158705341545707
40,234,23.402500231573978,0.9474223212583658,0.031151829416899323
41,235,23.624830123886102,0.9478641453128376,0.03157070226457868
42,245,23.391993337253343,0.9466766095270864,0.034503325777736786
43,251,22.966576111431372,0.9455358270696698,0.0362217721234527
44,252,23.11550839990711,0.9457826649764299,0.03664807236643088
45,252,22.837848262488794,0.9451283491583498,0.03655240545698187
46,252,22.34425692715091,0.9450204800337273,0.036550451223508036
47,257,22.198123463609665,0.9450534674991464,0.03824603469841774
48,257,22.039886842568507,0.9441962351577942,0.038136686503284264
49,258,22.405120590472652,0.9449040241870612,0.03864763504257433
50,266,21.843365294718133,0.9439363192324454,0.04124879570599613
51,272,21.66523224879346,0.9436762672686207,0.04332552560488603
52,272,21.430038968256795,0.9435386803642989,0.04332602019706718
53,270,21.249731619374025,0.943774002341199,0.042686153740035045
54,273,21.40548848564129,0.9446927655009844,0.04399265177911186
55,266,22.141671813866974,0.9450498831964532,0.04166969025392637
56,268,22.042968485391572,0.9443557564431277,0.042257357120205424
57,271,21.61720824460125,0.9435333609269336,0.043164694162060785
58,276,20.919773139761016,0.9423907506976672,0.044757885896700614
59,267,21.016618908578614,0.9425062001702115,0.04164997989825332
60,268,20.79216616625731,0.9416299496904568,0.04184131446586598
61,271,21.034507234452573,0.9419162980486028,0.04296853277661808
62,270,21.261422760045722,0.9420258314898774,0.04267186785384582
63,271,20.891883248549664,0.9417248012426195,0.04297475413341937
64,275,20.664905333428017,0.9415278133508407,0.0443780074364324
