First day,Clustering_coef,Clustering_ER,Clustering_BA,Clustering/Clustering_ER,DynRep_Degree_corr,DynRep_BC_corr,DynRep_Assortativity
0,0.23502163671174556,0.0424287856071964,0.05992169580687864,5.539202533100152,0.826500933112172,0.7645730157143905,-0.17088588075834185
1,0.21838041348023196,0.04152923538230885,0.05865127116079641,5.258474216292949,0.8415936996529024,0.7550783556115229,-0.16770012913514296
2,0.2385155616098378,0.04455829840086943,0.062469552846208476,5.352887569090472,0.849055156432942,0.7650961095202982,-0.18117490588450696
3,0.23390358929483288,0.04598609355246523,0.06423163831637523,5.086398326658771,0.8471466332474326,0.7434929232927431,-0.15999488211606383
4,0.2260028490026803,0.047076461769115445,0.06648555647830351,4.800761155566489,0.8606639734282319,0.7857173834618421,-0.14927133312091215
5,0.21065210353243122,0.043219076005961254,0.06233978462639348,4.874053843802115,0.8637033971569479,0.7938123728331387,-0.14298538731293275
6,0.21073437844725917,0.04415325452214784,0.06302882978161294,4.772793777671635,0.8708169775960228,0.7909077974142159,-0.11885916030316895
7,0.22068181291377545,0.04341736694677871,0.062195587605339143,5.082800465175344,0.8678977749410332,0.7904525187026318,-0.09120405433126369
8,0.21910190430254753,0.04214876033057851,0.060587807583625496,5.1983000824722065,0.8698491103611031,0.8036913626331221,-0.09846299150446783
9,0.20891139708562526,0.04118352658936426,0.05960573725058422,5.072693243797561,0.8714573140436891,0.8040104940850253,-0.10619560573261239
10,0.21057631627124976,0.04038814581694204,0.058651449207376236,5.21381489572906,0.8682250139146988,0.8117139973951704,-0.11157444713714611
11,0.19596745550640335,0.03875492125984252,0.05702350109057761,5.056582470971576,0.850325357567832,0.7738951599826113,-0.09100383780633124
12,0.1916971138875395,0.03769817968291251,0.055999583160506475,5.085049609820556,0.8291272144016216,0.7524735991670765,-0.06055954566344782
13,0.20501669582705426,0.03840281855549031,0.05704630434107669,5.338584602346688,0.8161372896589626,0.7383201167369264,-0.035797653569069915
14,0.2031641570165353,0.037936618089289845,0.056529721213494075,5.355357626722452,0.8276070771245785,0.758329610268318,-0.02039906302448705
15,0.21185635534333747,0.03887257780387551,0.05774411846145683,5.450020742442654,0.8322381760427724,0.7621794827428385,0.005594553813613977
16,0.20325785535583654,0.03839143312827523,0.05738442995854731,5.294354463838378,0.8341090684955175,0.7696379407043147,0.010693004434841863
17,0.1999676294413355,0.03816359079516974,0.05704386954336305,5.23974880965983,0.8354562718840826,0.7687485506861538,0.020104879124746733
18,0.18899286782216573,0.037706205813040065,0.05653299616492501,5.0122483487003535,0.8259582080296198,0.7654972489915703,0.015555682721338976
19,0.19536182978844582,0.03747276688453159,0.05652340169569124,5.213434876331199,0.8299340869873546,0.7869048927158555,-0.030258543070015465
20,0.2073631940411506,0.03680533833802523,0.0560108998530617,5.634052107786616,0.827042729584159,0.781970732642005,-0.02538100131162111
21,0.2127040136700428,0.036284777319369514,0.05505722591451175,5.8620730064808,0.8292292142687879,0.7889122632066967,-0.019186412572482072
22,0.2037647523410676,0.036920659858601726,0.05535522541148907,5.51898999425913,0.8197811902517581,0.7797931933444463,0.021151917911575432
23,0.2276343845617756,0.03691045796308954,0.05517078725984964,6.167205640997736,0.81961025943003,0.792377280033819,0.02190190669463919
24,0.22861716068590307,0.035686230501627204,0.05350444279894689,6.406312952427931,0.807554515032707,0.7634992449854432,0.00572530913302475
25,0.21997612681856268,0.03478846369655482,0.05215841908073438,6.323249245420039,0.8230275545774063,0.7934353253562229,-0.008115083963122978
26,0.20306664595003876,0.0358191426893717,0.0532083266789859,5.669221279556,0.827470818678234,0.8127445804601631,-0.00639858253457409
27,0.19919048540184708,0.03619047619047619,0.05290509892697837,5.503947622945775,0.8330120679437523,0.8119939686634966,-0.008909939532714971
28,0.19989304228341429,0.03820620512125728,0.05510915129982119,5.231952287566953,0.8439460000543886,0.8328548644025283,-0.0020530551858779504
29,0.2151840303454633,0.0387409200968523,0.055302715163221675,5.554437783292271,0.8616211479774194,0.8443453262582291,-0.003472333217953333
30,0.21957315946255113,0.038903625110521665,0.05514175650705982,5.644028258003303,0.8735129600118542,0.8470148972318688,-0.005672798939007074
31,0.19884263584668435,0.03787208959622753,0.053679664478463535,5.250374034457587,0.8996923919635954,0.865414461746199,-0.01900334472125051
32,0.18021186063382066,0.03643178410794603,0.05145219816633042,4.946556009990057,0.8964595451058643,0.8922341384673641,-0.028791790447728196
33,0.17766597950544435,0.03551429413498379,0.05033773984167202,5.002661149062014,0.8948463817076622,0.8752323491190256,-0.021490355145953967
34,0.18334353578372717,0.03653044203502919,0.0504451514966097,5.018924643942668,0.8848642381176206,0.8597738552636457,-0.011523013714161928
35,0.19001055403562245,0.03940605368360937,0.05290438259598769,4.8218620306721,0.872443156868188,0.8628251804297442,-0.0006462665361083745
36,0.2112880084834192,0.039603960396039604,0.05294646911786787,5.335022214206335,0.8889109856966952,0.856585249327788,-0.03321734600089751
37,0.22157254987492347,0.04040404040404041,0.05332102635631549,5.483920609404356,0.9020096153185136,0.8554526073542812,-0.023635388762547064
38,0.21377091488925695,0.040395539659162635,0.053074504810772444,5.291943533690825,0.9055722324931489,0.8568304408413103,-0.027643536174249063
39,0.22940079929244017,0.041008771929824564,0.053396687434521896,5.5939446244573645,0.8997534871076829,0.8412750413928042,-0.020433098580100048
40,0.23963158032914225,0.04035087719298246,0.05254005608530496,5.938695686417873,0.8820073954125353,0.7884796099446499,-0.01807723037112222
41,0.25421389903563085,0.04324450677886863,0.055527185024933284,5.878524649050966,0.8742629698974581,0.8033588258440236,-0.018875443233623425
