First day,Clustering_coef,Clustering_ER,Clustering_BA,Clustering/Clustering_ER,DynRep_Degree_corr,DynRep_BC_corr,DynRep_Assortativity
0,0.2917797513369414,0.048304213771839674,0.07372379253261829,6.040461660656255,0.9056238870571789,0.9260649397000823,-0.06849222824872582
1,0.27547646804198056,0.04531902206320811,0.06710866739729676,6.078605748768439,0.9325311509146039,0.9296330549506334,-0.06816315705709183
2,0.25614315651909303,0.0399313009875483,0.06041159684622342,6.414595822935136,0.9335378338164213,0.9368783491001332,-0.0798824264650522
3,0.2464821233114053,0.03518955196807546,0.055070502162619384,7.0044120918339035,0.9462073548051724,0.950253935926968,-0.09552060004397932
4,0.22343830118737082,0.03250040829658664,0.0519308213618362,6.874938282262671,0.9419349771542533,0.9529901619536885,-0.08262580723643019
5,0.21277308324666594,0.030672494440610383,0.04961973098357101,6.936934446549426,0.9446905748020695,0.9573776776513592,-0.08433316748682237
6,0.21923650465106215,0.02993348115299335,0.04877413649709238,7.324123229454002,0.9493145089563598,0.958292005461765,-0.08846544115643735
7,0.21464571949308395,0.029572836801752465,0.048300610419241066,7.25820525545132,0.9503873425940841,0.9555143651913749,-0.0838796024586787
8,0.19964001005303758,0.030295606728727748,0.04840787619407345,6.589734671454173,0.9538573146235789,0.940844746947454,-0.08731346292711832
9,0.19906388930298918,0.030787753697970415,0.048693344909872344,6.465684091662453,0.9553282764288947,0.9367495118958966,-0.07890846688813438
10,0.1963829234840313,0.03058232090490155,0.04861850634761075,6.421452580224421,0.9582498759711743,0.9399648728223091,-0.08614324434717295
11,0.19284032073055907,0.03128267689090276,0.049347201769443724,6.164444347364612,0.9522388495392028,0.9394080638820176,-0.08474830897566459
12,0.2050213741615444,0.03360528360528361,0.05187614913858722,6.100867249616361,0.9526630952923137,0.9390911931114112,-0.08917966473436817
13,0.18288233906244297,0.034177090515118684,0.052610988796184366,5.351021292510039,0.9526371164760521,0.93602822133182,-0.08426323019826339
14,0.16310484795120878,0.033812260536398464,0.052341123061904124,4.8238374294918405,0.9454162112435324,0.9360483421272529,-0.0763082106964202
15,0.16243277795001929,0.03362068965517241,0.05204457278959872,4.831333908256984,0.9342640467118674,0.9388159698689426,-0.08899655934147421
16,0.15771030406603814,0.03368462523392101,0.0518529053841356,4.681967009305512,0.9324536223684144,0.9278845053656722,-0.07822477110317977
17,0.13988986917818513,0.033232016210739616,0.05086622100087363,4.209490880453314,0.9130264107690853,0.9087185438844078,-0.08191475185267287
18,0.12910919281783514,0.032601201615286124,0.050185121877628316,3.9602587150437465,0.9129423778241503,0.903811730374882,-0.09988560808440196
19,0.13079164759459175,0.030752026838132513,0.04786633202317133,4.253106576780497,0.9097378752987378,0.9062478114215723,-0.10241612076141558
20,0.1633410281414404,0.032342657342657344,0.04992704526921833,5.050328005238049,0.9112556656859219,0.9022581923849833,-0.10965907175368084
21,0.18463015380660566,0.034993559467582654,0.05294134562330332,5.276118137614535,0.9109929205739632,0.9028837109372767,-0.09419306179716554
