First day,N_core,Frac_core,LN_core,LN_core_periphery,LN_periphery,Mean_dr_core,DynRep_core_per_ratio
0,34,20.73170731707317,7.382352941176471,1.9146341463414633,0.36923076923076925,56.54631487386261,3.6776804276596478
1,28,17.5,6.392857142857143,1.80625,0.4090909090909091,63.265544634532795,2.9735959227405373
2,24,15.286624203821656,6.041666666666667,1.7388535031847134,0.5714285714285714,70.22788439691784,2.4824793257020366
3,21,12.804878048780488,5.476190476190476,1.7195121951219512,0.6293706293706294,74.4357418830289,1.972806211808908
4,30,17.441860465116278,5.666666666666667,1.4767441860465116,0.39436619718309857,57.97554123162821,2.925910423319437
5,20,11.560693641618498,5.25,1.5433526011560694,0.6470588235294118,72.9145537568298,1.7159714251448515
6,18,10.0,5.166666666666667,1.4444444444444444,0.6728395061728395,79.76438621743846,1.5580852401916925
7,22,12.359550561797754,5.2272727272727275,1.398876404494382,0.5705128205128205,68.52023950940453,1.8124497718140755
8,24,13.714285714285714,5.0,1.3771428571428572,0.5231788079470199,65.68560015780135,2.1164433731388343
9,31,17.816091954022987,5.161290322580645,1.2586206896551724,0.3986013986013986,53.88600909192876,2.7242919474191694
10,32,17.77777777777778,5.15625,1.2277777777777779,0.38513513513513514,52.049483530484785,2.81952731340393
11,32,17.2972972972973,5.0625,1.227027027027027,0.43790849673202614,52.69158033348047,2.783860869739992
12,33,17.647058823529413,4.96969696969697,1.2032085561497325,0.42857142857142855,50.044981633725094,2.870338932469486
13,35,18.71657754010695,4.914285714285715,1.160427807486631,0.3881578947368421,46.716759013255626,3.1165144069457558
14,35,19.02173913043478,4.828571428571428,1.1467391304347827,0.3691275167785235,45.80295889889593,3.085534337786103
15,34,18.27956989247312,4.705882352941177,1.1344086021505377,0.3815789473684211,46.739837914002095,3.057270694949309
16,33,17.46031746031746,4.818181818181818,1.1375661375661377,0.41025641025641024,47.95399043272461,2.8802331143631785
17,33,17.46031746031746,4.818181818181818,1.1058201058201058,0.41025641025641024,48.70407215951532,2.944228266762351
18,33,17.36842105263158,4.878787878787879,1.1263157894736842,0.40764331210191085,48.56533561278106,2.9618673292252833
19,31,16.31578947368421,4.806451612903226,1.1789473684210525,0.4339622641509434,52.21735197401055,2.7771185030002314
20,32,16.580310880829014,4.84375,1.1243523316062176,0.45962732919254656,52.33565514912854,2.903807228343962
21,29,14.871794871794872,4.827586206896552,1.1846153846153846,0.46987951807228917,56.7625787379333,2.401373718909744
22,29,14.795918367346939,4.827586206896552,1.163265306122449,0.48502994011976047,56.190798709152936,2.3834005203108406
23,30,15.706806282722512,4.9,1.1465968586387434,0.484472049689441,53.980101010585244,2.5065043410486854
24,30,15.789473684210526,4.966666666666667,1.1578947368421053,0.4875,53.28699020058376,2.53245541684817
25,30,15.706806282722512,4.933333333333334,1.130890052356021,0.4906832298136646,52.74514618730257,2.5733860940453033
26,28,14.973262032085561,4.857142857142857,1.1283422459893049,0.5345911949685535,53.96126197763653,2.425533385088332
27,30,16.39344262295082,4.866666666666666,1.0655737704918034,0.5424836601307189,50.09309385495336,2.636405681535255
28,26,14.444444444444445,4.653846153846154,1.1388888888888888,0.5844155844155844,53.45457974375486,2.10017161510198
29,26,14.444444444444445,4.423076923076923,1.1555555555555554,0.577922077922078,50.45397871339852,1.9664650592267634
30,26,14.525139664804469,4.538461538461538,1.1173184357541899,0.5555555555555556,49.755396367021504,2.0055881182770374
31,27,14.917127071823204,4.481481481481482,1.138121546961326,0.5324675324675324,48.95849858925608,2.1365213269498025
32,27,14.754098360655737,4.7407407407407405,1.0655737704918034,0.5641025641025641,49.03730057452805,2.1964811823014836
33,26,14.207650273224044,4.769230769230769,1.0819672131147542,0.5668789808917197,52.20991893534359,2.293644840830214
34,25,13.966480446927374,4.76,1.106145251396648,0.5324675324675324,51.677356554701326,2.1415655218150516
35,23,13.609467455621301,4.695652173913044,1.1479289940828403,0.547945205479452,50.9360063683679,1.8360297249673332
36,23,14.110429447852761,4.739130434782608,1.177914110429448,0.5428571428571428,50.325694182917175,1.793786333029055
37,24,14.814814814814815,4.75,1.117283950617284,0.5217391304347826,49.03581482764046,1.9635310064747438
38,23,14.64968152866242,4.565217391304348,1.1528662420382165,0.5373134328358209,50.271656892439545,1.9395993039643196
39,23,14.465408805031446,4.434782608695652,1.1383647798742138,0.5367647058823529,49.42422925335345,1.983646903405567
40,18,11.464968152866241,4.111111111111111,1.197452229299363,0.5971223021582733,57.6088156036331,1.6049914118683182
41,19,12.92517006802721,4.105263157894737,1.2040816326530612,0.5078125,55.44838330905833,1.7545251760446567
42,19,13.194444444444445,4.105263157894737,1.2152777777777777,0.48,53.22169212365063,1.7364491744243693
43,16,11.11111111111111,3.875,1.2430555555555556,0.5625,58.167165001329145,1.4622076585133084
44,18,12.949640287769784,3.9444444444444446,1.2302158273381294,0.48760330578512395,53.20200051752282,1.6854762986835796
