First day,Clustering_coef,Clustering_ER,Clustering_BA,Clustering/Clustering_ER,DynRep_Degree_corr,DynRep_BC_corr,DynRep_Assortativity
0,0.3123575966476174,0.06898096304591265,0.08940706580496709,4.528171003349389,0.9004375339320819,0.9310130985314851,-0.0743199408944976
1,0.3375491657010198,0.06230847803881512,0.07846139198420642,5.41738742985735,0.9124065677422564,0.9172101223639249,-0.12154936035426112
2,0.31466412916268166,0.06246498599439776,0.07705505062421712,5.037448166416024,0.9166208314369418,0.9231453131262755,-0.13126373685222417
3,0.30515147774799595,0.06383619391749473,0.07747788691531836,4.780226686797616,0.9143642787862623,0.9146063717274506,-0.12938921494708427
4,0.30529168139365515,0.06550632911392405,0.07861642775686709,4.660491368135025,0.9132900549688249,0.9131440597340145,-0.09053439838227556
5,0.29529472689834535,0.06455696202531645,0.07747705923865161,4.574173220582212,0.9226949418532303,0.9177061023550165,-0.11086705172520722
6,0.298057973621241,0.06329113924050633,0.07595790121436434,4.709315983215607,0.9264300008405804,0.9243390863358553,-0.1444666811729911
7,0.24895107242697345,0.05864197530864197,0.07077787115876252,4.245270919281022,0.9278094493350231,0.9179138546494019,-0.16660773538767662
8,0.25292587756436574,0.05660945498343872,0.06870680537773514,4.467908720166269,0.9214684562627476,0.9111342660729813,-0.17913984575105085
9,0.24898589644974634,0.054061624649859946,0.06668890031602649,4.605594043137795,0.920075687519635,0.8938138965825253,-0.18555403407566848
10,0.24978715856222122,0.05450372920252438,0.06687654413965326,4.582937024988964,0.9138897172445256,0.8875633036045455,-0.15773820919027445
11,0.2422959697041704,0.05362517099863201,0.06649926689099901,4.518325353411953,0.9182128937417829,0.8941136944797172,-0.1485873866108515
12,0.2557275856943128,0.05239240844693932,0.0653082351569755,4.881004582053185,0.9213160970013778,0.886270619604178,-0.14538460687437565
13,0.27461534354539757,0.05239240844693932,0.0653082351569755,5.2415102051190425,0.921101654381585,0.8993825837569687,-0.17173370650298445
14,0.2774361786318472,0.05185779203421545,0.0646418245941492,5.3499419807306205,0.9279086855902938,0.8984437189046169,-0.17901199726607633
15,0.26944353560345263,0.04885057471264368,0.061205327614007106,5.515667670000089,0.9374672613604246,0.9300245710600354,-0.18689582968197818
16,0.2935440080182705,0.0519219736087206,0.06370870783830127,5.653560287025917,0.9344435148215292,0.9390067871711674,-0.1963334874257867
17,0.2849157332080236,0.05299608551641072,0.06432126460894354,5.376165624908218,0.9393517681105181,0.950715321744665,-0.20768786459266658
18,0.2891638670936624,0.05230678812812224,0.06383439451303947,5.5282283130322085,0.9381574210364146,0.9417923652079089,-0.21251835022909812
19,0.3120469348753153,0.0526006464883926,0.06419301470693296,5.932378320562559,0.9535169143325096,0.9259933412889331,-0.20024634622164114
20,0.2988905170641788,0.05432098765432099,0.06556265959969582,5.502302700499655,0.9633583311222057,0.937228279633561,-0.18420607625197497
21,0.2870017905259753,0.05673274094326726,0.06690437372107029,5.058838789632553,0.9586792504861418,0.915062924732993,-0.16752119069490656
22,0.28357590777499253,0.05886708626434654,0.0681569612162079,4.817223439624244,0.9438315831299025,0.9113477379658762,-0.13178900186214995
23,0.26388785922034,0.05775638652350981,0.06687098081590209,4.568981459962425,0.9420075420947162,0.8974609371381033,-0.06842207279085895
24,0.2750584973073849,0.0593607305936073,0.06829467717174992,4.6336777623321,0.9400888940928079,0.8941119889515021,-0.08788426468991534
25,0.2621152562533987,0.05859969558599695,0.06741910438749672,4.472979827493064,0.9394955409807095,0.9007533041696114,-0.09811843062969398
26,0.24033105903850244,0.05468215994531784,0.06448614334560993,4.395054242166613,0.9416306248686875,0.9005534181745027,-0.10328830348934936
27,0.24137697550399193,0.05578947368421053,0.06539659980443309,4.326568428845138,0.9400548113692261,0.8895419906055878,-0.12191314132980668
28,0.2422852851889841,0.054385964912280704,0.06375140232507628,4.454922985732933,0.9277911275037058,0.8588807573228746,-0.0929570145497876
29,0.24686361449641553,0.05473684210526316,0.06416270169491549,4.510008341761437,0.9375963731531866,0.8401164400717297,-0.1030482423678768
30,0.23361879755068612,0.05405405405405406,0.0625843794815494,4.321947754687693,0.9359621106059884,0.8285539604482232,-0.10446410965999729
31,0.2507811203833088,0.05403348554033485,0.06216566768197749,4.641216791319264,0.9302833760258561,0.8241362680499722,-0.09874173108172156
32,0.2322934545980477,0.05289193302891933,0.06085230850559768,4.391850350242226,0.9289108362726326,0.830307854792401,-0.07949586539054439
33,0.2303066954831661,0.05081081081081081,0.05919682903343137,4.532631772806992,0.9203688987968205,0.82489860398985,-0.10201599665918183
34,0.239476621507242,0.05289193302891933,0.06085230850559768,4.527658714539799,0.916907499091471,0.8039749660649158,-0.1188343485234877
35,0.25175974940507345,0.05157894736842105,0.06046100736636267,4.881056366016731,0.9224547530138839,0.8225415966496756,-0.15103982476493416
36,0.21757835016786692,0.04989747095010253,0.058843605802869056,4.3605085793916345,0.9164992213493708,0.8314048084129297,-0.13232880552661005
37,0.22520341982015948,0.051929824561403506,0.060872306736201864,4.336687476266585,0.9128814764302939,0.8189443073745091,-0.1264210655942342
38,0.22376414943081613,0.05081081081081081,0.05919682903343137,4.403868898372445,0.9123096318022962,0.7946738344695491,-0.10242822049791762
39,0.24954577315688425,0.0528169014084507,0.06037590149716059,4.724733305103675,0.9319470714659398,0.8238291256687447,-0.11802689527211661
40,0.22890845390845396,0.04961125509070714,0.05744045788032615,4.614042791095031,0.9310087381568357,0.8287213601380617,-0.13199188219503902
41,0.21802137487068995,0.04984779299847793,0.05735001736858487,4.37374177984865,0.9337721543737656,0.8008666848239193,-0.12894296842552852
