Day,Number of active users,Mean user reputation,Gini coefficient,Gini coeficient active users
0,50,13.730547798445954,0.9300431470597778,0.012041035617106266
1,55,14.186317049767748,0.921861642696355,0.014373797094245121
2,56,15.179567679067954,0.9206893740306786,0.014943010099505747
3,57,15.74656986509662,0.9209135780950571,0.015762254378903957
4,58,17.081078578222964,0.9207829688784323,0.016539081973126663
5,58,17.051643219626502,0.92166070846402,0.016691961540586456
6,60,16.95221738214742,0.9211896361686485,0.01826483177456371
7,80,14.674110790845315,0.9036623170902138,0.03457118494425308
8,83,14.36666740799702,0.9021708026182275,0.03774133424925087
9,86,13.744305456271457,0.8969193066898136,0.04007588764424663
10,91,13.687448920770873,0.8907899021551166,0.04483408097292324
11,96,13.175535727397433,0.8865501038882805,0.05040386080765936
12,100,13.005536988771278,0.8882694786259916,0.05662756123912661
13,100,13.03662863130183,0.8912981644900113,0.05753707651360725
14,102,12.770241704082073,0.8905618438549725,0.06030195590525651
15,106,12.664556046867995,0.887306429475775,0.06545412392244405
16,106,13.124306943464351,0.8884949427489365,0.06595327145097363
17,101,13.583883211299678,0.8871492108301254,0.058776353979731764
18,103,13.323718891717874,0.8835655834162891,0.06078595352390603
19,107,13.001022483368011,0.8811079343544527,0.06619953881848871
20,116,12.227557068816445,0.8740979094926048,0.07850430469554417
21,119,12.045905623950494,0.8718364446419564,0.08279124443124895
22,123,11.845981435718205,0.8678217218628478,0.08850569403738745
23,123,11.69668383345193,0.8667007859576148,0.08839441368830118
24,119,11.541211195340757,0.8656623923777202,0.0816219701925851
25,118,11.38493954757408,0.863735776030296,0.07946870474803316
26,118,11.447847871516483,0.8638393891767838,0.07974300532078009
27,118,11.384026872647432,0.8652053915930887,0.08032025468494124
28,115,11.259377335162668,0.8643552886591402,0.07548278396617039
29,114,11.355290709511827,0.8643990897017462,0.07417913748879544
30,115,11.014558135478024,0.8650584646219509,0.07606592825557987
31,122,10.266298250630669,0.8582297705983037,0.08598751370517678
32,134,9.644273565477667,0.845139160214148,0.10420778744697311
33,140,9.368739318987556,0.8400073519082152,0.11422512196390508
34,143,9.343823900398757,0.8368903885480516,0.11953556056831495
35,145,9.16879506205469,0.8357388661243305,0.12347874686995797
36,144,9.100272892786538,0.8329896671166456,0.12073775201138436
37,141,9.046141819065518,0.8301476880873087,0.1143305114680375
38,141,8.68791236419498,0.8291523575997789,0.1141769482887433
39,143,8.519511924169317,0.824458514459581,0.11646660063129133
40,144,8.51555949813537,0.8254368815041383,0.11881523398195758
41,143,8.249070953301533,0.8245860240152723,0.11655668685791432
42,143,8.206156273379486,0.8238927721293672,0.11629677214749506
43,144,8.257263377931322,0.8192730044675021,0.11692856503999344
44,144,8.182567169610975,0.8201966213296825,0.11716723848763275
45,146,7.972029744369116,0.8181947370534534,0.12042209037081951
46,143,8.047226390988298,0.8191569345979651,0.11502906240901302
47,142,8.09263803682682,0.8172162542532984,0.11263392350786676
48,142,8.165374967153364,0.8154611199483557,0.1130065493753557
49,136,8.915677645143507,0.8213096462547195,0.10442833616162511
50,133,9.105914356544506,0.8248026372080716,0.10045902571095555
51,134,9.049703522535465,0.820177581447294,0.10069865893212199
52,133,9.171949789558257,0.8241374863514878,0.10035767858776769
53,132,9.277329298911392,0.8281177999796375,0.09976426913202024
54,132,8.987602348687801,0.8250536565685694,0.09898123983131848
55,130,8.98209124209457,0.8254594061734362,0.09543672948627982
56,130,9.019332197320715,0.8271760046889906,0.09592270538158823
57,132,9.0485354307877,0.8253657315508208,0.09884044510151617
58,130,9.044460204405594,0.8281845632789432,0.096266171746624
59,130,8.81456681419078,0.827827576660645,0.0962440879614009
60,128,8.77868122754577,0.8293943788159347,0.09325437492529091
61,128,9.013151893512484,0.8247315454950571,0.09186124271634773
62,128,8.908503332219002,0.8254198258189018,0.09208765661780531
63,128,8.7690482345179,0.8281187612765557,0.09288026492432869
64,129,8.473331472450358,0.8273187083358612,0.09430827473607883
65,126,8.408979070921939,0.8272673383284004,0.08950369964011141
66,125,8.178078091426945,0.8270413827302397,0.08772550773674404
67,123,8.053120677727618,0.8274261156101329,0.08455912753467874
68,116,8.497716172509017,0.8300137635205839,0.07457335741034421
69,117,8.503888511711317,0.8317060580092678,0.07637673665364393
70,117,8.608545989507727,0.8364305169784869,0.07776362369257173
71,112,8.847032001819523,0.8392397533016968,0.07098151356076846
72,113,8.472807511371462,0.8383956973247916,0.07235436096195445
73,112,8.181196507497406,0.8381611646913826,0.0708458824470933
74,111,8.066165689814149,0.8374327721430977,0.06921448161959277
75,107,8.106824566977798,0.838209621147998,0.06373550304427336
76,105,7.928562538494283,0.8367567454615308,0.06080501811553066
77,105,8.16332654900102,0.8441833310105679,0.06240504063378987
78,103,8.135345659761546,0.8459585685347123,0.06006161057388491
79,100,8.12498749468884,0.8475866965082421,0.05650542380815083
80,97,8.109344321010912,0.8492316577217702,0.053075835464328244
81,97,7.979687584274594,0.8500288153400997,0.05302579997617563
82,98,7.971416886907581,0.8498014684895253,0.05416568681465937
83,97,7.909109461584897,0.8464204099176312,0.052124312842550084
84,93,8.319746373935322,0.8476157760601861,0.047259837254615265
85,92,8.104917801213643,0.8481145170450998,0.04617057798215628
86,91,7.903970619006936,0.8483236066633844,0.045002074722966086
87,89,7.771688452909413,0.8478633421888677,0.04255117161104775
88,87,7.772713697124883,0.8474535706601257,0.04024107517507768
89,87,7.91031269178417,0.8496598093571571,0.0406777898318955
90,86,7.961523079477694,0.8502271366080009,0.03956823939883908
91,84,8.145597385696549,0.8526827243543953,0.03761572292569054
92,85,8.309420030637124,0.8487413314705708,0.038239178978210865
93,86,8.308420011583733,0.8458075512979426,0.038327049545233714
94,86,8.059510031209228,0.8445263611494755,0.03809787552405376
95,86,7.922047553805686,0.8464775392711977,0.03836740462467626
96,84,7.884299371618061,0.8480529648231184,0.0365154019772017
97,85,7.748047444579818,0.8444546071561031,0.03690705554908991
98,85,7.666336883157515,0.8454680076143166,0.03716206751477587
99,83,7.532369551813034,0.843659180925402,0.034833849179451155
100,88,7.383316050856967,0.8401135449920029,0.03951844827095954
101,89,7.225531599651427,0.8362820399324237,0.04002312824164511
102,89,7.110592873311663,0.8375423432216694,0.040347974864467194
103,88,7.195569917128262,0.8382228855578849,0.039214581502254174
104,91,6.885756385171197,0.8325832942690549,0.04150272732852876
105,93,6.870624834742401,0.833877948385041,0.04395208641528305
106,94,6.729693131119408,0.8345100086925908,0.04547845222584386
107,95,6.717132744466051,0.8382918225038969,0.04734275754295177
108,97,6.58554645497273,0.8342771569170172,0.049139752610661856
109,97,6.730958184570838,0.8299804468731856,0.047922458367065775
110,100,6.65334781136445,0.8258175146740323,0.05040934860066362
111,100,6.9643622097171445,0.830294452015669,0.05136583318990978
112,99,6.801514148174888,0.8308314006158408,0.05022632368656794
113,103,6.525538451882491,0.8272113234624147,0.05456029994615032
114,100,6.501753549002825,0.8281887515299593,0.051074470529334566
115,98,6.413257433892981,0.8286066198508387,0.048721851491490754
116,100,6.1100198367444225,0.8260447419026573,0.05076902096529743
117,98,6.082861795618912,0.8258013289479212,0.0484343960412135
118,94,6.172364508063374,0.8280402684919896,0.0443490855619586
119,95,5.967169898353311,0.8283010627086659,0.04536176586001445
120,97,5.811741668784985,0.8231741222158998,0.04681020391462077
121,96,5.7276421789924585,0.8222154932216207,0.04549117263735731
122,96,5.562303198025205,0.8216283533915345,0.045232901223184734
123,94,5.481141467039873,0.8206473021453669,0.04298788234898224
124,95,5.414913445440718,0.8171153231895522,0.04349247989685443
125,93,5.385372067276497,0.8148081696544229,0.04075726176704303
126,94,5.612468420450679,0.8190512982064503,0.04217117240844719
127,94,5.81603082850854,0.8229903522598031,0.04268456884978292
128,91,6.11608514707891,0.8305080380946641,0.04090171578277438
129,89,6.036069935564933,0.8314690291251017,0.038965302793233035
130,89,5.986449852694176,0.8299572446753426,0.03866622119945897
131,87,5.99016157589915,0.82981290628552,0.03660626289959866
132,89,5.937788973201991,0.8314711235667972,0.03906895600485931
133,87,5.93013461885371,0.8305244454000489,0.03681045726935167
134,85,5.911528680497196,0.8303742981707702,0.03484615138954496
135,84,5.841070833052168,0.8317150886579553,0.03400357120269421
136,86,5.642058553979719,0.8290202287545397,0.035461078595942934
137,86,5.835432391358856,0.8305952453554234,0.03588340288263934
138,84,5.949311177442447,0.8318496726755551,0.03405931951373261
139,82,6.057903311135815,0.83107324766821,0.032033231142702144
140,79,6.07984751465277,0.8321143779559309,0.029366582659704925
141,79,5.816638462765807,0.8316301491584821,0.029284851879804
142,78,5.695598416528979,0.8316389907635205,0.028281248251993574
143,77,5.661621673429476,0.8312738426599646,0.027236648921209226
144,77,5.521988054044839,0.8331409510936808,0.027510657024487916
145,75,5.519011808757926,0.8330402525157364,0.025556509025546806
146,74,5.5415404126750305,0.8338634281897677,0.024520883610864314
147,74,5.490241943868365,0.834437972953656,0.024569192694795343
148,76,5.309154870448881,0.8312756364838703,0.025952774800018407
149,73,5.353731910375558,0.8323404144581386,0.023566827417413977
150,71,5.3301105693649715,0.8333875680694192,0.0220786678171646
151,71,5.253250974845832,0.8343205484167705,0.022273380610195594
152,70,5.254438437241572,0.8340320774000467,0.021370137581740736
153,73,5.287274118721849,0.8353213958892444,0.024046370323834432
154,73,5.774133261329878,0.8430901098831498,0.024983686480724014
155,71,5.768913151537717,0.8413793754949993,0.0230174709132688
156,71,5.573518190410584,0.8400610525389285,0.02291016496761693
157,69,5.475758032885524,0.8400390775326542,0.02135268025607061
158,68,5.681821553839574,0.8395446193239585,0.020163620873527816
159,67,5.639103394951203,0.8388841618827103,0.019300978337059967
160,69,5.730482539686105,0.840980708605919,0.020770809423950324
161,69,5.782948846873327,0.8418454057551662,0.02095785636684401
162,69,5.872679033915544,0.8466075896041543,0.021704452656381816
163,69,5.900448391108377,0.849084730923224,0.02179734923266964
164,69,5.634798686733535,0.8485224705170101,0.021722851192584713
165,68,5.615426753456832,0.8478790533541327,0.02081077788111294
166,66,5.9587613230103855,0.8547722748344934,0.020086215276907966
167,67,5.848934252116285,0.8555623709151445,0.020725319099983215
168,68,5.709605095630872,0.8546336067003956,0.021506531735774027
169,69,5.5982349373501865,0.8531919033991247,0.022148086124211278
170,67,5.634555174729344,0.8547936840460468,0.020757714553265534
171,67,5.6603782230674415,0.8567433278540899,0.021042981173063482
172,67,5.693789967797059,0.8547060885032286,0.020653402295559425
173,68,6.022895828210683,0.8593419402354968,0.021695938029575704
174,69,5.875311228449364,0.8570219321847609,0.022193497825973536
175,69,6.046278423423109,0.8614449074559283,0.022585801684559304
176,70,6.075710586893696,0.8621082610748877,0.023523714917111613
177,67,6.1687545640938035,0.8638081605404345,0.021367538814579718
178,67,6.083038196371015,0.8629136671278238,0.021109484435719996
179,68,5.976129293273289,0.8610367177832818,0.021581335284528942
