First day,N_core,Frac_core,LN_core,LN_core_periphery,LN_periphery,Mean_dr_core,DynRep_core_per_ratio
0,20,21.05263157894737,4.3,1.6631578947368422,0.36,34.38784390666816,2.280516097455988
1,16,18.823529411764707,3.75,1.611764705882353,0.463768115942029,40.963977320252035,1.9509733817883692
2,14,16.867469879518072,3.2857142857142856,1.5542168674698795,0.5362318840579711,42.64710326951638,1.5736923091714625
3,12,14.285714285714286,2.9166666666666665,1.3571428571428572,0.6388888888888888,44.5692485346708,1.253559622019102
4,16,19.047619047619047,3.1875,1.3333333333333333,0.4852941176470588,38.80366166680038,1.6275501612663201
5,17,19.767441860465116,3.1176470588235294,1.3372093023255813,0.43478260869565216,36.62028917022297,1.6409170028796642
6,17,19.767441860465116,3.1176470588235294,1.3255813953488371,0.4492753623188406,35.11396048718221,1.5496715484134804
7,16,18.39080459770115,3.125,1.2528735632183907,0.4647887323943662,35.51412200094073,1.4038932069084205
8,14,16.27906976744186,3.0714285714285716,1.197674418604651,0.5833333333333334,39.23376218418359,1.2981309734283693
9,14,15.730337078651685,3.0714285714285716,1.146067415730337,0.5733333333333334,38.4319063550027,1.2653710442225061
10,11,12.5,2.8181818181818183,1.1363636363636365,0.7402597402597403,44.09145473433509,1.0453136918776837
11,11,12.359550561797754,2.8181818181818183,1.1348314606741574,0.7307692307692307,44.27758125544081,1.0737320060388786
12,11,12.087912087912088,2.909090909090909,1.1318681318681318,0.7,44.311539448605835,1.0698030855683502
13,11,11.956521739130435,2.909090909090909,1.141304347826087,0.7283950617283951,43.50307423079747,1.0260555077640874
14,11,11.956521739130435,2.727272727272727,1.1956521739130435,0.6790123456790124,42.465848615468765,0.9967081381093786
15,10,11.235955056179776,2.6,1.1797752808988764,0.6708860759493671,46.32343772643073,0.9411885456090326
16,13,14.942528735632184,2.8461538461538463,1.206896551724138,0.5,38.27156855790222,1.1540876059239433
17,13,15.116279069767442,2.8461538461538463,1.1627906976744187,0.4794520547945205,37.01685860447289,1.1244148067995252
18,13,15.294117647058824,2.8461538461538463,1.1764705882352942,0.4722222222222222,35.423283218364745,1.1043307033271954
19,13,15.116279069767442,2.8461538461538463,1.1744186046511629,0.4794520547945205,34.54055933766286,1.0882164822040237
20,13,15.116279069767442,2.8461538461538463,1.1744186046511629,0.4931506849315068,33.56978767779942,1.089745495200542
21,16,18.823529411764707,2.75,1.2,0.37681159420289856,30.968985533257737,1.4830687156768203
22,12,14.285714285714286,2.6666666666666665,1.0952380952380953,0.5555555555555556,36.717989319783364,1.1093749716680057
23,11,12.790697674418604,2.5454545454545454,1.0465116279069768,0.5333333333333333,37.685791149708145,1.0412067803696214
24,8,9.30232558139535,2.25,0.9534883720930233,0.7435897435897436,40.11654247929495,0.6565815752071908
25,9,10.843373493975903,2.4444444444444446,0.9759036144578314,0.6756756756756757,38.06490421838856,0.756683818436768
26,9,10.465116279069768,2.4444444444444446,0.9186046511627907,0.6883116883116883,37.31711746273394,0.7473902452582434
27,9,10.0,2.6666666666666665,0.9444444444444444,0.691358024691358,39.69247195832657,0.7669367443287295
