First day,N_core,Frac_core,LN_core,LN_core_periphery,LN_periphery,Mean_dr_core,DynRep_core_per_ratio
0,39,18.055555555555557,11.153846153846153,3.4953703703703702,0.7062146892655368,145.78598282740737,3.775404968417975
1,38,17.51152073732719,10.605263157894736,3.327188940092166,0.6312849162011173,150.7786172687414,3.5731124587205016
2,41,19.523809523809526,10.463414634146341,3.1904761904761907,0.4911242603550296,140.9894717560239,3.822367605902198
3,40,19.32367149758454,10.1,3.260869565217391,0.5029940119760479,144.93445147682868,3.7825541067720105
4,40,18.95734597156398,9.85,3.2843601895734595,0.47953216374269003,145.14622846540811,3.8359208428941685
5,35,16.50943396226415,9.685714285714285,3.3726415094339623,0.6836158192090396,159.65220018095454,3.30962209854274
6,35,16.203703703703702,9.6,3.3981481481481484,0.6850828729281768,161.54938430206684,3.2926577618163195
7,38,17.431192660550458,9.605263157894736,3.2522935779816513,0.6,153.38207533375748,3.57345360106322
8,37,16.444444444444443,9.45945945945946,3.3022222222222224,0.601063829787234,156.63308500468608,3.409925900497136
9,36,16.363636363636363,9.416666666666666,3.2590909090909093,0.6358695652173914,160.86520530894524,3.458269014379105
10,35,15.909090909090908,9.342857142857143,3.1863636363636365,0.6594594594594595,158.59483951251227,3.199211351160302
11,36,16.438356164383563,9.38888888888889,3.1141552511415527,0.6010928961748634,154.2758621542406,3.268046103263046
12,34,15.178571428571429,9.352941176470589,3.0714285714285716,0.6789473684210526,158.43696646919452,2.982545264820717
13,32,14.222222222222221,9.3125,3.0355555555555553,0.7875647668393783,165.22955851175885,2.877982251251023
14,35,15.695067264573991,8.885714285714286,3.103139013452915,0.648936170212766,153.51079893356166,3.1150279101234637
15,32,14.678899082568808,8.59375,3.165137614678899,0.7473118279569892,162.3698587586704,2.733259855241896
16,35,16.129032258064516,8.742857142857142,3.046082949308756,0.6648351648351648,151.57499697627858,3.06149574922215
17,32,15.023474178403756,8.625,3.028169014084507,0.7790055248618785,157.67653061629875,2.8008846034568373
18,31,14.553990610328638,8.483870967741936,3.028169014084507,0.8351648351648352,156.4318011754367,2.619050930875788
19,34,15.96244131455399,8.529411764705882,3.051643192488263,0.7486033519553073,148.22037590505622,2.88609662877081
20,37,17.53554502369668,8.756756756756756,2.943127962085308,0.6724137931034483,141.62699838120886,3.1993871344908005
21,35,16.74641148325359,8.628571428571428,3.028708133971292,0.7298850574712644,144.9920243634474,2.8903653087720924
22,33,15.566037735849056,8.333333333333334,3.0330188679245285,0.7430167597765364,151.10699158701456,2.743571171805052
23,33,15.42056074766355,8.181818181818182,2.9345794392523366,0.7403314917127072,146.621535694362,2.683867303277453
24,34,15.74074074074074,7.852941176470588,2.990740740740741,0.6648351648351648,142.25129559170884,2.7673125206973714
25,29,13.302752293577981,7.896551724137931,2.958715596330275,0.9047619047619048,156.94611605439837,2.3259947951616193
26,28,12.5,7.642857142857143,3.0089285714285716,0.9183673469387755,163.97082629118322,2.2626545030981333
27,32,13.973799126637555,7.6875,3.1222707423580784,0.7715736040609137,153.60520180270538,2.519691733494944
28,31,13.41991341991342,7.612903225806452,3.16017316017316,0.815,164.19360349325967,2.43903535564923
29,30,12.875536480686696,7.433333333333334,3.1416309012875536,0.8423645320197044,166.39584469575715,2.1965634616404
30,30,13.157894736842104,7.2,3.1052631578947367,0.8383838383838383,165.10747264013332,2.267711391945787
31,28,12.22707423580786,6.964285714285714,3.1004366812227073,0.9154228855721394,172.8398416178665,2.1638360095265936
32,29,12.393162393162394,7.0,3.123931623931624,0.8536585365853658,168.8572250886603,2.2307234878639193
33,30,12.244897959183673,7.266666666666667,3.0816326530612246,0.827906976744186,172.4506761581835,2.271571535932773
34,35,14.17004048582996,7.685714285714286,3.0080971659919027,0.6933962264150944,154.17286065723258,2.5218418440301242
35,33,13.46938775510204,7.7272727272727275,3.0775510204081633,0.7971698113207547,160.98786178248847,2.4313818973430648
36,33,13.46938775510204,7.666666666666667,3.1142857142857143,0.7830188679245284,162.8130123187261,2.450813210442454
37,34,13.821138211382113,7.529411764705882,3.1219512195121952,0.7216981132075472,156.96587621527613,2.4683905023910304
38,35,14.462809917355372,7.6571428571428575,3.152892561983471,0.7053140096618358,154.1717903131609,2.538324203058543
39,36,14.937759336099585,7.527777777777778,3.2697095435684647,0.6829268292682927,148.9862118034582,2.478217082831915
40,36,14.87603305785124,7.638888888888889,3.2892561983471076,0.6990291262135923,147.0696698946668,2.3973712978648787
41,36,14.516129032258064,8.027777777777779,3.2983870967741935,0.7264150943396226,149.56094986109676,2.339022377019615
42,37,14.919354838709678,8.216216216216216,3.254032258064516,0.6966824644549763,143.50505929340207,2.3443643843917354
43,37,14.859437751004016,8.216216216216216,3.321285140562249,0.6933962264150944,143.8102690467159,2.3115014457309004
44,40,15.810276679841897,8.45,3.225296442687747,0.6244131455399061,136.4310863905906,2.563761927807352
45,40,15.936254980079681,8.5,3.2191235059760954,0.6540284360189573,135.09749957803984,2.5681793727116093
46,39,15.41501976284585,8.564102564102564,3.185770750988142,0.7102803738317757,135.94144524064822,2.441030211800914
47,39,15.17509727626459,8.666666666666666,3.1750972762645913,0.7339449541284404,135.36989221521483,2.4508791809498294
48,39,15.116279069767442,8.743589743589743,3.1705426356589146,0.7534246575342466,134.94661132659255,2.4188035071257086
49,39,14.942528735632184,8.538461538461538,3.1149425287356323,0.7207207207207207,135.32377921445365,2.379449264090917
50,42,16.27906976744186,8.666666666666666,3.003875968992248,0.6481481481481481,126.83714245945373,2.678663632405684
51,44,16.730038022813687,8.818181818181818,2.9163498098859315,0.6073059360730594,120.65121046692296,2.780272543699188
52,49,18.702290076335878,8.775510204081632,2.8587786259541983,0.5117370892018779,110.32349081050559,3.167052804869018
53,48,18.3206106870229,8.833333333333334,2.9389312977099236,0.5233644859813084,110.80935758276105,3.061786165267268
54,46,17.692307692307693,9.043478260869565,2.957692307692308,0.5654205607476636,114.07730049648296,2.987116516331926
55,51,19.921875,9.27450980392157,2.9375,0.45365853658536587,106.30394284464884,3.383260852765565
56,50,19.841269841269842,9.22,2.9484126984126986,0.47029702970297027,106.7023713487299,3.3136408733172944
57,55,22.0,9.163636363636364,2.708,0.3487179487179487,98.30667552582331,3.7301312026694005
58,50,20.74688796680498,8.72,2.929460580912863,0.4293193717277487,103.96178614482,3.2973550570193524
59,53,21.90082644628099,8.69811320754717,2.7768595041322315,0.37566137566137564,98.8693238641086,3.589270073195708
60,52,21.224489795918366,8.673076923076923,2.7877551020408164,0.38341968911917096,98.17991436878043,3.3128034783582496
61,54,22.131147540983605,8.962962962962964,2.639344262295082,0.4,96.35173826777795,3.480159477396461
62,49,19.838056680161944,8.918367346938776,2.789473684210526,0.4595959595959596,107.74725709808416,3.237250716661566
63,46,18.852459016393443,8.978260869565217,2.9057377049180326,0.5252525252525253,116.45847044236365,3.0114933474552394
64,46,18.69918699186992,9.043478260869565,2.894308943089431,0.52,117.40714894713139,2.927059266253575
65,46,18.852459016393443,8.978260869565217,2.8442622950819674,0.5151515151515151,116.3993184484874,2.9927024790083623
66,44,18.25726141078838,8.727272727272727,2.883817427385892,0.5634517766497462,116.63118806754996,2.8187083197526124
67,42,16.867469879518072,8.714285714285714,2.8072289156626504,0.6231884057971014,121.09948968955342,2.663225501120542
68,41,16.4,8.658536585365853,2.812,0.645933014354067,122.75134993951642,2.609980985451163
69,44,17.670682730923694,8.772727272727273,2.7028112449799195,0.5317073170731708,115.50727603311343,2.8254262558090084
70,43,17.338709677419356,8.651162790697674,2.754032258064516,0.5170731707317073,116.52297408436205,2.7478345025264757
71,46,18.326693227091635,8.782608695652174,2.5697211155378485,0.4682926829268293,110.94470013425715,2.9478249620489323
72,43,17.063492063492063,8.488372093023257,2.638888888888889,0.5119617224880383,113.5183625161716,2.692933407386102
73,40,16.0,8.4,2.564,0.6095238095238096,116.35672479510761,2.4376085415790794
74,39,15.476190476190476,8.333333333333334,2.5634920634920637,0.6150234741784038,118.28815949373944,2.3389631507437594
75,43,16.929133858267715,8.534883720930232,2.468503937007874,0.5118483412322274,109.01859235089977,2.512318133751821
76,38,14.615384615384615,8.31578947368421,2.626923076923077,0.5945945945945946,120.79201547209165,2.170913745386219
77,40,15.686274509803921,8.55,2.6705882352941175,0.586046511627907,120.50964591448829,2.332072521640453
78,39,14.828897338403042,8.564102564102564,2.722433460076046,0.59375,128.48691946668663,2.340093224946166
79,39,14.828897338403042,8.384615384615385,2.722433460076046,0.6071428571428571,128.36350349116705,2.3282821866200636
80,39,14.716981132075471,8.435897435897436,2.758490566037736,0.6504424778761062,129.06138186333118,2.3217434680542173
81,38,14.074074074074074,8.31578947368421,2.7666666666666666,0.6724137931034483,131.1210124927379,2.2563211965472623
