First day,Clustering_coef,Clustering_ER,Clustering_BA,Clustering/Clustering_ER,DynRep_Degree_corr,DynRep_BC_corr,DynRep_Assortativity
0,0.3858000811350294,0.04729962160302718,0.07480821145371451,8.156515169887493,0.9189780807177634,0.9619997447941853,-0.12662372754784057
1,0.3749149069128022,0.043896245238527115,0.06869619341934995,8.540933395910242,0.9281845429076094,0.9629659304399029,-0.1684362772103754
2,0.35622777840540415,0.042562971134399705,0.06643050437634551,8.369429316401698,0.9331046279712043,0.9667836140259679,-0.17186479575057753
3,0.3421783085056831,0.039823399558498895,0.06265489364994606,8.592393223562885,0.9339758523834458,0.9743132709409609,-0.17603013112268076
4,0.33482646039886715,0.04017776165427172,0.0628768877784546,8.333626529024626,0.9256984127634673,0.9734857026916371,-0.1832536215064183
5,0.330256868612472,0.037969094922737305,0.05973748175050289,8.698044272177315,0.9325531500934535,0.9734788312563258,-0.19728828474184776
6,0.3141444868563195,0.036114790286975715,0.05682006985105973,8.698499544371195,0.9366918648187909,0.964928721757779,-0.2022204329672358
7,0.3125755357760194,0.03532008830022075,0.05556975046558409,8.849794856658548,0.9346016720008768,0.9604020943428689,-0.1979978705424596
8,0.30478678668755926,0.03706896551724138,0.05738247769109602,8.222155175757413,0.9389933878512858,0.9532203577867666,-0.19969769609461913
9,0.3144141295920735,0.03700466200466201,0.057123736479195754,8.496608604409419,0.9410431415446744,0.9494038694890533,-0.19806253860092443
10,0.30778336001132767,0.03618327822390175,0.05616625111983451,8.506232025378337,0.9475914057859267,0.9542706376876202,-0.19257817153978454
11,0.29070739655167177,0.03419191003083621,0.05350922503945234,8.502227465195578,0.9475398191431457,0.9537029947253047,-0.190247086731211
12,0.2656331610555548,0.03160377358490566,0.050876918634255607,8.405108976683227,0.9497594633715899,0.957624065211775,-0.18442106646766768
13,0.2686204525376438,0.031055900621118012,0.05011776071522352,8.64957857171213,0.9527971797612549,0.9626245746287512,-0.18577547295409816
14,0.27665312165774336,0.03144400548254454,0.05036910778988668,8.79827863569485,0.9545007664535637,0.9600222507440713,-0.1837036248003848
15,0.2661258160634974,0.030046583850931678,0.048488933491978754,8.857107263301929,0.9518304928275063,0.9550901429826408,-0.17363607290177002
16,0.23224549787904708,0.027532545264102946,0.04475524946714889,8.435307947422128,0.9538271169578679,0.9505030730534486,-0.16527963929919262
17,0.2200350545486784,0.02738635458960274,0.04397870240766239,8.034477674959154,0.9597969054684419,0.9429578915849406,-0.1599663632088186
18,0.19636014874732569,0.02767167473049826,0.04387844110846611,7.096070283411791,0.9627147754770384,0.9442677815306992,-0.1619964092080768
19,0.19745618209218843,0.026351405142902636,0.042316716560861195,7.493193665438002,0.9663647119021928,0.9451060239694515,-0.13360861698090756
20,0.20113002448907175,0.026728110599078342,0.042491242533939266,7.525037123125615,0.9662814519868738,0.9438377693130475,-0.12837598649973486
21,0.1965573800281004,0.026659786721706227,0.04216462827391181,7.372803919247585,0.9615251963646311,0.944890239391648,-0.1360015837787607
22,0.19183368338782375,0.027770012114434816,0.04322474831183351,6.907943813539385,0.957418465897486,0.9492162305831081,-0.1553013918601629
23,0.17954404641975125,0.028153046764289088,0.04370115622378769,6.377428628701567,0.9528482566473007,0.9477424150922015,-0.12982352750404702
24,0.17322663900110705,0.027293064876957495,0.04282702542161709,6.346910461761873,0.9465453415277612,0.9510511048144596,-0.13721609189801243
25,0.17183777020386098,0.026751481352387592,0.04219941766913432,6.423486159151494,0.9408900174233745,0.9415593397206528,-0.11366937558589447
26,0.1791423196155322,0.027196467991169978,0.04278870785849975,6.586970031317864,0.936814474169473,0.9405969430110745,-0.08177052570357433
27,0.1690211497314545,0.02772626931567329,0.04362225411548351,6.096065352575548,0.9390060406143764,0.9296047965985348,-0.07351728789840518
28,0.16566461304590926,0.026659786721706227,0.04216462827391181,6.214026195154299,0.9323034355511018,0.9193501006801924,-0.07081247657992651
29,0.13508738020701458,0.026143790849673203,0.041455705096342214,5.167092292918308,0.9306325329572696,0.9188403465322007,-0.04473677883065806
30,0.1427274659099683,0.027293064876957495,0.04282702542161709,5.229440759160314,0.9285081227123688,0.9210249098921818,-0.03889865789878612
31,0.13750128892309094,0.025804261098378745,0.04091731931587024,5.3286272526412315,0.918995345174551,0.9136747175701285,-0.02446161274478604
32,0.1313560647203578,0.025475599669148058,0.04060340195273938,5.156152021003654,0.915782752505224,0.9112784537709264,-0.00828264116888798
33,0.14144212670354545,0.025804261098378745,0.04091731931587024,5.481347679916016,0.9072790213300506,0.9037820936702416,0.01819218131544346
34,0.12838734231395957,0.023771183191473047,0.03845529151226753,5.40096558424628,0.8994717258209288,0.8994565756105843,0.029089089475675088
35,0.12041364155714135,0.02375776397515528,0.038340086947145996,5.068391187111048,0.9039405955697164,0.8991915161696481,0.03472802855791157
36,0.12193036357026477,0.02406832298136646,0.038841264554298226,5.066009944467774,0.9071031027382026,0.8999908495043702,0.02254478161508124
37,0.1470382395063858,0.02370673331818526,0.038443862743659234,6.202382991063297,0.9123050598319862,0.8947877216630905,0.030618208716650778
38,0.15598366605816535,0.023417626814304954,0.03806628555222175,6.660951056017374,0.9123812981042342,0.8933974588606481,0.016487853322224563
39,0.17567041883453102,0.023439211391018618,0.038282706035991064,7.494723943734899,0.917989475075084,0.9180765091727464,-0.008307588196568794
40,0.17607817360322228,0.0235552525941074,0.03819821505839624,7.4751129456056065,0.9218731198988813,0.9247123030454589,-0.022076686758491157
41,0.18328196799432458,0.024838786720802485,0.039887660323228685,7.378861538386894,0.9251804768848484,0.9234025748469735,-0.02852265609788556
